dataset,rep,pair,rho_eqsig,rho_eqdam,delta
OpenADMET-Caco2_Efflux,SNS,hetero|valprop,0.27272727272727276,0.965034965034965,0.6923076923076923
OpenADMET-Caco2_Efflux,SNS,legacy|outlier,0.4265734265734266,0.5874125874125874,0.16083916083916078
OpenADMET-Caco2_Efflux,SNS,legacy|quantile,0.6363636363636365,0.7762237762237763,0.1398601398601398
OpenADMET-Caco2_Efflux,SNS,legacy|threshold,0.4125874125874127,0.7832167832167832,0.3706293706293705
OpenADMET-Caco2_Efflux,SNS,legacy|valprop,0.9510489510489512,0.8041958041958043,-0.14685314685314688
OpenADMET-Caco2_Efflux,SNS,outlier|quantile,0.9160839160839163,0.9090909090909092,-0.006993006993007089
OpenADMET-Caco2_Efflux,SNS,outlier|threshold,0.9090909090909092,0.7482517482517484,-0.16083916083916072
OpenADMET-Caco2_Efflux,SNS,outlier|valprop,0.5314685314685316,0.5454545454545455,0.013986013986013957
OpenADMET-Caco2_Efflux,SNS,quantile|threshold,0.7482517482517484,0.8951048951048951,0.14685314685314665
OpenADMET-Caco2_Efflux,SNS,quantile|valprop,0.7552447552447553,0.7832167832167832,0.027972027972027913
OpenADMET-Caco2_Efflux,SNS,threshold|valprop,0.46153846153846156,0.9230769230769231,0.46153846153846156
OpenADMET-LogD,ECFP4,hetero|legacy,0.9720279720279721,0.9930069930069931,0.020979020979021046
OpenADMET-LogD,ECFP4,hetero|outlier,0.9720279720279721,0.9790209790209792,0.006993006993007089
OpenADMET-LogD,ECFP4,hetero|quantile,0.9510489510489512,0.9860139860139862,0.034965034965035
OpenADMET-LogD,ECFP4,hetero|threshold,0.5874125874125874,0.9930069930069931,0.40559440559440574
OpenADMET-LogD,ECFP4,hetero|valprop,0.8601398601398602,1.0,0.1398601398601398
OpenADMET-LogD,ECFP4,legacy|outlier,0.965034965034965,0.9720279720279721,0.006993006993007089
OpenADMET-LogD,ECFP4,legacy|quantile,0.9440559440559443,0.9790209790209792,0.03496503496503489
OpenADMET-LogD,ECFP4,legacy|threshold,0.6363636363636365,0.9860139860139862,0.3496503496503497
OpenADMET-LogD,ECFP4,legacy|valprop,0.9230769230769231,0.9930069930069931,0.06993006993007
OpenADMET-LogD,ECFP4,outlier|quantile,0.9720279720279721,0.9930069930069931,0.020979020979021046
OpenADMET-LogD,ECFP4,outlier|threshold,0.5594405594405596,0.9580419580419581,0.39860139860139854
OpenADMET-LogD,ECFP4,outlier|valprop,0.8811188811188813,0.9790209790209792,0.09790209790209792
OpenADMET-LogD,ECFP4,quantile|threshold,0.6643356643356644,0.9720279720279721,0.3076923076923077
OpenADMET-LogD,ECFP4,quantile|valprop,0.8881118881118882,0.9860139860139862,0.09790209790209792
OpenADMET-LogD,ECFP4,threshold|valprop,0.8111888111888113,0.9930069930069931,0.18181818181818188
OpenADMET-LogD,MHG-GNN-pretrained,hetero|legacy,0.8391608391608393,0.9440559440559443,0.104895104895105
OpenADMET-LogD,MHG-GNN-pretrained,hetero|outlier,0.8881118881118882,0.9510489510489512,0.06293706293706292
OpenADMET-LogD,MHG-GNN-pretrained,hetero|quantile,0.9160839160839163,0.9510489510489512,0.03496503496503489
OpenADMET-LogD,MHG-GNN-pretrained,hetero|threshold,0.7972027972027973,0.9370629370629372,0.1398601398601399
OpenADMET-LogD,MHG-GNN-pretrained,hetero|valprop,0.9160839160839163,0.9090909090909092,-0.006993006993007089
OpenADMET-LogD,MHG-GNN-pretrained,legacy|outlier,0.9370629370629372,0.9370629370629372,0.0
OpenADMET-LogD,MHG-GNN-pretrained,legacy|quantile,0.965034965034965,0.9370629370629372,-0.027972027972027802
OpenADMET-LogD,MHG-GNN-pretrained,legacy|threshold,0.8671328671328673,0.9580419580419581,0.09090909090909083
OpenADMET-LogD,MHG-GNN-pretrained,legacy|valprop,0.9160839160839163,0.9510489510489512,0.03496503496503489
OpenADMET-LogD,MHG-GNN-pretrained,outlier|quantile,0.9580419580419581,1.0,0.04195804195804187
OpenADMET-LogD,MHG-GNN-pretrained,outlier|threshold,0.7552447552447553,0.9160839160839163,0.16083916083916094
OpenADMET-LogD,MHG-GNN-pretrained,outlier|valprop,0.8671328671328673,0.9510489510489512,0.08391608391608385
OpenADMET-LogD,MHG-GNN-pretrained,quantile|threshold,0.8251748251748254,0.9160839160839163,0.09090909090909083
OpenADMET-LogD,MHG-GNN-pretrained,quantile|valprop,0.9300699300699302,0.9510489510489512,0.020979020979020935
OpenADMET-LogD,MHG-GNN-pretrained,threshold|valprop,0.8811188811188813,0.9510489510489512,0.0699300699300699
OpenADMET-LogD,PDV,hetero|legacy,0.9615384615384615,0.9725274725274725,0.010989010989011061
OpenADMET-LogD,PDV,hetero|outlier,0.9560439560439561,0.967032967032967,0.01098901098901095
OpenADMET-LogD,PDV,hetero|quantile,0.9615384615384615,0.9615384615384615,0.0
OpenADMET-LogD,PDV,hetero|threshold,0.6923076923076923,0.8956043956043955,0.20329670329670324
OpenADMET-LogD,PDV,hetero|valprop,0.8516483516483516,0.9285714285714285,0.07692307692307687
OpenADMET-LogD,PDV,legacy|outlier,0.9285714285714285,0.9945054945054945,0.06593406593406603
OpenADMET-LogD,PDV,legacy|quantile,0.9395604395604396,0.989010989010989,0.0494505494505495
OpenADMET-LogD,PDV,legacy|threshold,0.8076923076923077,0.9395604395604396,0.13186813186813184
OpenADMET-LogD,PDV,legacy|valprop,0.9285714285714285,0.9615384615384615,0.03296703296703296
OpenADMET-LogD,PDV,outlier|quantile,0.9725274725274725,0.9835164835164836,0.010989010989011061
OpenADMET-LogD,PDV,outlier|threshold,0.7307692307692307,0.9285714285714285,0.19780219780219777
OpenADMET-LogD,PDV,outlier|valprop,0.8846153846153846,0.9725274725274725,0.08791208791208793
OpenADMET-LogD,PDV,quantile|threshold,0.7582417582417583,0.9065934065934067,0.14835164835164838
OpenADMET-LogD,PDV,quantile|valprop,0.901098901098901,0.945054945054945,0.04395604395604402
OpenADMET-LogD,PDV,threshold|valprop,0.9340659340659341,0.9120879120879121,-0.02197802197802201
OpenADMET-LogD,SNS,hetero|legacy,0.9440559440559443,0.9790209790209792,0.03496503496503489
OpenADMET-LogD,SNS,hetero|outlier,0.9860139860139862,1.0,0.013986013986013845
OpenADMET-LogD,SNS,hetero|quantile,0.965034965034965,0.9860139860139862,0.020979020979021157
OpenADMET-LogD,SNS,hetero|threshold,0.5664335664335665,0.9370629370629372,0.37062937062937074
OpenADMET-LogD,SNS,hetero|valprop,0.9300699300699302,0.9720279720279721,0.04195804195804187
OpenADMET-LogD,SNS,legacy|outlier,0.9720279720279721,0.9790209790209792,0.006993006993007089
OpenADMET-LogD,SNS,legacy|quantile,0.965034965034965,0.9860139860139862,0.020979020979021157
OpenADMET-LogD,SNS,legacy|threshold,0.5244755244755246,0.9300699300699302,0.4055944055944056
OpenADMET-LogD,SNS,legacy|valprop,0.9230769230769231,0.965034965034965,0.04195804195804187
OpenADMET-LogD,SNS,outlier|quantile,0.9790209790209792,0.9860139860139862,0.006993006993006978
OpenADMET-LogD,SNS,outlier|threshold,0.5454545454545455,0.9370629370629372,0.39160839160839167
OpenADMET-LogD,SNS,outlier|valprop,0.9300699300699302,0.9720279720279721,0.04195804195804187
OpenADMET-LogD,SNS,quantile|threshold,0.5384615384615385,0.9160839160839163,0.3776223776223777
OpenADMET-LogD,SNS,quantile|valprop,0.9300699300699302,0.9720279720279721,0.04195804195804187
OpenADMET-LogD,SNS,threshold|valprop,0.6853146853146854,0.9510489510489512,0.26573426573426573
