dataset,rep,strategy,sigma,mean_r2,between_sd,range,within_sd,snr,F
OpenADMET-Caco2_Efflux,PDV,threshold,0.8,0.253572553956833,0.12963754489384008,0.4973467554284652,0.17091094353982686,0.758509327775322,2.8766820016108543
OpenADMET-Caco2_Efflux,PDV,threshold,0.9,0.1829132791124189,0.1764764891973323,0.613826293127403,0.18140732601079285,0.9728189763782352,4.731883804007986
OpenADMET-Caco2_Efflux,PDV,threshold,1.0,0.19754279012797393,0.20107588253237516,0.6895726946417347,0.159611327279171,1.259784540107732,7.935285437472252
OpenADMET-Caco2_Efflux,PDV,valprop,0.0,0.45028532496496365,0.05554649958729172,0.2063816045065493,0.08944618212826808,0.6210047009903301,1.928234193260446
OpenADMET-Caco2_Efflux,PDV,valprop,0.1,0.43444701481924203,0.05270494158226008,0.1913578617663272,0.08607022795632778,0.6123481119278862,1.8748510509082348
OpenADMET-Caco2_Efflux,PDV,valprop,0.2,0.41564271843763867,0.05969528622382314,0.18907019962042337,0.09199823569898916,0.6488742503621626,2.1051889639152925
OpenADMET-Caco2_Efflux,PDV,valprop,0.3,0.3675534402605294,0.0710989453632926,0.2512255902521925,0.09794413795475723,0.7259132281723172,2.634750074177773
OpenADMET-Caco2_Efflux,PDV,valprop,0.4,0.34942431232764726,0.09258537241386831,0.3091562832555151,0.11147278605876357,0.8305648013952155,3.449189446583369
OpenADMET-Caco2_Efflux,PDV,valprop,0.5,0.27986514746252283,0.12653885852931857,0.42665196335405,0.11134175907518519,1.1364905636516063,6.458054006345729
OpenADMET-Caco2_Efflux,PDV,valprop,0.6,0.2018670436382965,0.1877216416917811,0.6312189024586177,0.09921865241156842,1.891999509458099,17.898310718948437
OpenADMET-Caco2_Efflux,PDV,valprop,0.7,0.19310406592919294,0.21652041125093105,0.7153162335768897,0.12683058107423836,1.7071624951729434,14.572018924625548
OpenADMET-Caco2_Efflux,PDV,valprop,0.8,0.12943584915767953,0.28448936380166495,0.9314520751614881,0.1462386024247228,1.9453780266267762,18.92247833241145
OpenADMET-Caco2_Efflux,PDV,valprop,0.9,0.04063697156111014,0.4047437619321315,1.3282135428048587,0.16579337237964153,2.441254171519776,29.798609649813542
OpenADMET-Caco2_Efflux,PDV,valprop,1.0,-0.06254553157481384,0.526938931515485,1.7628228667559718,0.2171243389004557,2.4268994170988307,29.449203903573228
OpenADMET-Caco2_Efflux,SNS,hetero,0.0,0.40858680279366805,0.10109568843122659,0.37578530583614195,0.08261460023776335,1.2237024465442548,7.487238388391974
OpenADMET-Caco2_Efflux,SNS,hetero,0.1,0.4106531406842589,0.0913442928404919,0.3387075103750626,0.0893215623881625,1.022645488930649,5.22901898015103
OpenADMET-Caco2_Efflux,SNS,hetero,0.2,0.40377549479231445,0.09628703590357728,0.35621566925690035,0.08229704142251745,1.1699938933312857,6.844428552162498
OpenADMET-Caco2_Efflux,SNS,hetero,0.3,0.39393709934778837,0.09819390335193996,0.37858640555065337,0.0856094802556479,1.1469980083830942,6.5780221561739225
OpenADMET-Caco2_Efflux,SNS,hetero,0.4,0.393354997056468,0.10408276497667909,0.40499893783812557,0.0756256686768684,1.3762888553276997,9.47085506649615
OpenADMET-Caco2_Efflux,SNS,hetero,0.5,0.37753091607913686,0.09762177053685228,0.3820841388020852,0.08752971203517511,1.1152986599295738,6.2194555042035145
OpenADMET-Caco2_Efflux,SNS,hetero,0.6,0.36442743157197177,0.09087589825054697,0.3598115140464636,0.10426357859651567,0.8715977283133836,3.7984130000052536
OpenADMET-Caco2_Efflux,SNS,hetero,0.7,0.35393955644228836,0.09641536487823103,0.3723665816848235,0.08104972455439408,1.1895828814757388,7.075537159500606
OpenADMET-Caco2_Efflux,SNS,hetero,0.8,0.33464366330568873,0.08651307810309637,0.33513471969275876,0.09956058737885144,0.8689490528404957,3.7753622821619732
OpenADMET-Caco2_Efflux,SNS,hetero,0.9,0.33798813677398337,0.08790825170460793,0.33812261202901805,0.09152765708999634,0.9604556098073225,4.612374892051778
OpenADMET-Caco2_Efflux,SNS,hetero,1.0,0.310916323366361,0.07788370742235362,0.28418666736065257,0.09915672946826423,0.7854606322738873,3.0847420242604744
OpenADMET-Caco2_Efflux,SNS,legacy,0.0,0.41766175719311666,0.08438885647197797,0.3202168596032553,0.0901465270679117,0.9361298678584012,4.38169564748294
OpenADMET-Caco2_Efflux,SNS,legacy,0.1,0.4014312741964198,0.09563725067654237,0.36151247705532397,0.08161885242222887,1.171754415043645,6.865042045871373
OpenADMET-Caco2_Efflux,SNS,legacy,0.2,0.36555342088719844,0.1053683449781173,0.39960316531920187,0.08833499243897676,1.192826784367559,7.114178687523258
OpenADMET-Caco2_Efflux,SNS,legacy,0.3,0.31755246143627874,0.09491450217901223,0.33968639036140175,0.10067458572108119,0.9427851279365851,4.4442189872920155
OpenADMET-Caco2_Efflux,SNS,legacy,0.4,0.29129684058880057,0.09013609029430801,0.2954125608672079,0.09717556519584157,0.9275592080442584,4.30183042213846
OpenADMET-Caco2_Efflux,SNS,legacy,0.5,0.22256296846960233,0.09689169865144717,0.3162153961653131,0.08410681384694318,1.1520077175645935,6.635608906641923
OpenADMET-Caco2_Efflux,SNS,legacy,0.6,0.12731598144008072,0.17654753347204782,0.6198061231302688,0.14566420893620605,1.2120172467992272,7.344929032693893
OpenADMET-Caco2_Efflux,SNS,legacy,0.7,0.07973868410917569,0.19520288659218543,0.5755284944572294,0.13414858998552517,1.4551244005863058,10.58693510590828
OpenADMET-Caco2_Efflux,SNS,legacy,0.8,0.011403026295527119,0.25688400822395174,0.7476204452066251,0.1873142375926,1.3714067415562017,9.403782253928995
OpenADMET-Caco2_Efflux,SNS,legacy,0.9,-0.05815447104153571,0.34752323988872463,0.9743623528862909,0.18320228851387552,1.896937220095936,17.991854084926487
OpenADMET-Caco2_Efflux,SNS,legacy,1.0,-0.21595897045469176,0.4554412514599633,1.3219881663227395,0.3105897215416759,1.4663758002012657,10.75128993707951
OpenADMET-Caco2_Efflux,SNS,outlier,0.0,0.4152624120280594,0.10366628075837482,0.3979585309581136,0.08446477052212809,1.2273315859091374,7.531714108851191
OpenADMET-Caco2_Efflux,SNS,outlier,0.1,0.3990322724847105,0.09878800993412241,0.3770609493329591,0.08414463913853107,1.1740261880674694,6.891687451341164
OpenADMET-Caco2_Efflux,SNS,outlier,0.2,0.38026025498403293,0.10092352305168921,0.3946368133668985,0.08321467169516233,1.2128092438001696,7.354531309235696
OpenADMET-Caco2_Efflux,SNS,outlier,0.3,0.31359427441163606,0.11247361843022427,0.37466238892234305,0.1741165919991106,0.645967263308248,2.086368526329738
OpenADMET-Caco2_Efflux,SNS,outlier,0.4,0.2946812743788398,0.10130122653314312,0.363202542919077,0.11165338953474425,0.9072830386543729,4.115812561149561
OpenADMET-Caco2_Efflux,SNS,outlier,0.5,0.26656381535364854,0.09511399678769453,0.3788596195617118,0.0923623900174707,1.0297914201841611,5.302351845424557
OpenADMET-Caco2_Efflux,SNS,outlier,0.6,0.11389463491486485,0.27797903146329145,0.9234558126936996,0.2691469292363318,1.0328151699594699,5.333535876492043
OpenADMET-Caco2_Efflux,SNS,outlier,0.7,0.16543596109334976,0.1619018766088902,0.5554701167737612,0.14048702291926268,1.1524329667227309,6.640508713946774
OpenADMET-Caco2_Efflux,SNS,outlier,0.8,0.057098292069435404,0.24102352152621578,0.7699119638689453,0.2380617453056817,1.0124412102277542,5.1251860208372
OpenADMET-Caco2_Efflux,SNS,outlier,0.9,-0.029143464049503555,0.3154552333851697,1.131641341904475,0.2651383907536987,1.1897757713940904,7.077831930982015
OpenADMET-Caco2_Efflux,SNS,outlier,1.0,-0.014116318702796893,0.29240209117571864,0.821455077320401,0.28790231533282745,1.0156295229431873,5.157516639369032
OpenADMET-Caco2_Efflux,SNS,quantile,0.0,0.410880889322475,0.10392510721866638,0.3920661991864721,0.07930880815262896,1.3103854368693022,8.58554996579576
OpenADMET-Caco2_Efflux,SNS,quantile,0.1,0.4000335810466471,0.10740019893266663,0.406342269138906,0.0838042578142209,1.2815601704957964,8.211982353006075
OpenADMET-Caco2_Efflux,SNS,quantile,0.2,0.3751462491337084,0.10113103738164783,0.39694433648833455,0.09057308021590743,1.116568379264263,6.233624727864114
OpenADMET-Caco2_Efflux,SNS,quantile,0.3,0.3092218810572183,0.09876608970330439,0.32835665146756465,0.12480203531609768,0.7913820431946511,3.1314276914547037
OpenADMET-Caco2_Efflux,SNS,quantile,0.4,0.28479561002357173,0.10522948290609403,0.33201950317677376,0.11605123737995747,0.9067502017369062,4.110979641749601
OpenADMET-Caco2_Efflux,SNS,quantile,0.5,0.24136488386485985,0.09167803847971874,0.3079848306904337,0.08931370676106458,1.0264722157930284,5.268226048975247
OpenADMET-Caco2_Efflux,SNS,quantile,0.6,0.13033073395912323,0.24593204681111608,0.8964933530832143,0.17409384161872404,1.4126407029935155,9.977768778770068
OpenADMET-Caco2_Efflux,SNS,quantile,0.7,0.12357741874157349,0.1532183812476884,0.5142710508958248,0.11400985805712628,1.343904675075695,9.030398878451548
OpenADMET-Caco2_Efflux,SNS,quantile,0.8,0.03635929655492773,0.2426317028848413,0.7792388156621144,0.21756598401885774,1.1152097327117596,6.218463739675171
OpenADMET-Caco2_Efflux,SNS,quantile,0.9,-0.09539882241511793,0.366542639873585,1.2662212165066098,0.18922664934364739,1.9370561236748463,18.760932131331103
OpenADMET-Caco2_Efflux,SNS,quantile,1.0,-0.1375092219247285,0.3766026633447897,1.1458977459421378,0.30166893089367264,1.2483972486962156,7.7924784527614035
OpenADMET-Caco2_Efflux,SNS,threshold,0.0,0.412029900119636,0.09040428638560971,0.3304399998101719,0.09305362357925039,0.9715289196515348,4.719342208596392
OpenADMET-Caco2_Efflux,SNS,threshold,0.1,0.40688088013435064,0.09508818775792859,0.3567829099848755,0.0805366407506036,1.1806823189011137,6.970053690828555
OpenADMET-Caco2_Efflux,SNS,threshold,0.2,0.4003243781319826,0.07930543608904306,0.3225106684323311,0.08704010767298756,0.9111366955909118,4.150850390261629
OpenADMET-Caco2_Efflux,SNS,threshold,0.3,0.3438825995990639,0.09581816395727735,0.3713189445102705,0.12575905722780278,0.7619185931372734,2.9025997128414094
OpenADMET-Caco2_Efflux,SNS,threshold,0.4,0.3419095543231741,0.07659919819840767,0.3051469802148904,0.09238014408636104,0.8291738333596812,3.437646229641942
OpenADMET-Caco2_Efflux,SNS,threshold,0.5,0.32530372272006824,0.09448351079687874,0.3872668683651562,0.08044216946091336,1.1745519971684506,6.897861970261982
OpenADMET-Caco2_Efflux,SNS,threshold,0.6,0.21850139117676606,0.15581406388717028,0.47263345106731036,0.16895625252453933,0.922215434818192,4.252406541084535
OpenADMET-Caco2_Efflux,SNS,threshold,0.7,0.2531502658903965,0.08672405872680905,0.30758622985081147,0.08397489154247653,1.0327379664782528,5.332738537028185
OpenADMET-Caco2_Efflux,SNS,threshold,0.8,0.18388880019975157,0.1188729850216366,0.32269078571301113,0.14878025048630955,0.7989836327945626,3.1918742273679825
OpenADMET-Caco2_Efflux,SNS,threshold,0.9,0.11391962364399828,0.18723549219489627,0.6652721140358115,0.139392383083375,1.3432261365594473,9.021282269682095
OpenADMET-Caco2_Efflux,SNS,threshold,1.0,0.12134774167688415,0.1758939565902415,0.48466300977008614,0.1577907915269069,1.1147289071063924,6.2131026816930595
OpenADMET-Caco2_Efflux,SNS,valprop,0.0,0.4066577988988837,0.10341192283682028,0.40281516942385626,0.0789006421387169,1.3106600913970963,8.589149375905224
OpenADMET-Caco2_Efflux,SNS,valprop,0.1,0.3818079909282089,0.10285040429589892,0.3836082325789854,0.08272638199197255,1.2432600316774296,7.728477531832814
OpenADMET-Caco2_Efflux,SNS,valprop,0.2,0.3626849931802572,0.09213053847999043,0.36377742461673146,0.09232006384126178,0.9979470837282216,4.979491909608311
OpenADMET-Caco2_Efflux,SNS,valprop,0.3,0.29376703750225214,0.09336090987235995,0.3258552415021814,0.10970626013082647,0.8510080442175822,3.6210734566151723
OpenADMET-Caco2_Efflux,SNS,valprop,0.4,0.26444493235207406,0.09700769523711066,0.2953078435836894,0.1127393010469631,0.8604603216113675,3.70195982533769
OpenADMET-Caco2_Efflux,SNS,valprop,0.5,0.2007407306165599,0.10526121311132133,0.30679993951459633,0.09548127834558841,1.102427773645165,6.0767349805211754
OpenADMET-Caco2_Efflux,SNS,valprop,0.6,0.08809208121823345,0.21994732362039912,0.7789077301361969,0.1512661399373859,1.4540420196578205,10.57119097465297
OpenADMET-Caco2_Efflux,SNS,valprop,0.7,0.05072333281121841,0.20766284798208753,0.6191188651640456,0.14007679404584641,1.4824928668350343,10.988925501083795
OpenADMET-Caco2_Efflux,SNS,valprop,0.8,-0.017818144822392586,0.2853872636785116,0.8304088472975732,0.1929552521003445,1.4790334057872585,10.937699077173285
OpenADMET-Caco2_Efflux,SNS,valprop,0.9,-0.1021508306345415,0.37726503686526097,1.0698225891663504,0.18890724377876222,1.997091426028602,19.94187081958477
