dataset,rep,strategy,sigma,rho_vs_clean,snr_drop,mean_drop
ChEMBL-hERG-Ki,MHG-GNN-pretrained,hetero,0.2,0.9790209790209792,0.433846305180629,0.042584868673633765
ChEMBL-hERG-Ki,MHG-GNN-pretrained,hetero,0.3,0.9790209790209792,0.1976021963648737,0.004229638607091757
ChEMBL-hERG-Ki,MHG-GNN-pretrained,hetero,0.4,0.9790209790209792,0.32721478349768596,0.08557246973040468
ChEMBL-hERG-Ki,MHG-GNN-pretrained,hetero,0.5,0.9510489510489512,0.7311577924520254,0.08208149504234548
ChEMBL-hERG-Ki,MHG-GNN-pretrained,hetero,0.6,0.9230769230769231,0.569574651128789,0.10166895831166327
ChEMBL-hERG-Ki,MHG-GNN-pretrained,hetero,0.7,0.8811188811188813,0.6161456470684665,0.07556338650945287
ChEMBL-hERG-Ki,MHG-GNN-pretrained,hetero,0.8,0.965034965034965,0.252156548422138,0.06399759688687764
ChEMBL-hERG-Ki,MHG-GNN-pretrained,hetero,0.9,0.965034965034965,0.1314838109732015,0.08712747014415838
ChEMBL-hERG-Ki,MHG-GNN-pretrained,hetero,1.0,0.8601398601398602,0.5627322773466509,0.11000606564387753
ChEMBL-hERG-Ki,MHG-GNN-pretrained,legacy,0.0,1.0,,0.0
ChEMBL-hERG-Ki,MHG-GNN-pretrained,legacy,0.1,0.9440559440559443,0.3582353106757559,-0.013221767999658886
ChEMBL-hERG-Ki,MHG-GNN-pretrained,legacy,0.2,0.9580419580419581,0.4660922081956535,-0.017962949294304028
ChEMBL-hERG-Ki,MHG-GNN-pretrained,legacy,0.3,0.9440559440559443,0.269160567501368,0.024458993002159164
ChEMBL-hERG-Ki,MHG-GNN-pretrained,legacy,0.4,0.9580419580419581,0.3861583147546657,0.11644631614643507
ChEMBL-hERG-Ki,MHG-GNN-pretrained,legacy,0.5,0.9370629370629372,0.2803636597469367,0.07486952128184363
ChEMBL-hERG-Ki,MHG-GNN-pretrained,legacy,0.6,0.9160839160839163,0.51881762139234,0.09452771639742029
ChEMBL-hERG-Ki,MHG-GNN-pretrained,legacy,0.7,0.9230769230769231,0.34159622501419346,0.03424977980731746
