dataset,rep,strategy,model,fold,clean,r2_06,ret_06,auc_norm
OpenADMET-LogD,ECFP4,threshold,LightGBM,1,0.6947379280952081,0.6291793582699541,0.9056355394256383,0.8582872603301543
OpenADMET-LogD,ECFP4,threshold,LightGBM,2,0.7191240520599975,0.5968631938075344,0.8299864148581381,0.8576614562034288
OpenADMET-LogD,ECFP4,threshold,LightGBM,3,0.7044073835575457,0.600104246016526,0.8519278190778663,0.8548635981218131
OpenADMET-LogD,ECFP4,threshold,LightGBM,4,0.7476278538527831,0.6540456171923805,0.8748277820600969,0.8743066367707366
OpenADMET-LogD,ECFP4,threshold,MLP,0,0.6887789928467749,0.4876246041387351,0.7079551049072305,0.77962839273625
OpenADMET-LogD,ECFP4,threshold,MLP,1,0.6638591792675257,0.4677477862731904,0.7045888659538965,0.7890050572987601
OpenADMET-LogD,ECFP4,threshold,MLP,2,0.680797427153014,0.471434171885756,0.6924734922357424,0.7855408602214384
OpenADMET-LogD,ECFP4,threshold,MLP,3,0.7097273439097833,0.5427537700583012,0.7647356054627269,0.8188097870669095
OpenADMET-LogD,ECFP4,threshold,MLP,4,0.6848408808073225,0.4627395176335322,0.6756890988867855,0.8023584962185937
OpenADMET-LogD,ECFP4,threshold,MLP-BNN-Full,0,0.4969714301616466,0.4819013690960194,0.9696762023911003,0.8968555527655222
OpenADMET-LogD,ECFP4,threshold,MLP-BNN-Full,1,0.6316567411251593,0.4777698904507916,0.7563758277949322,0.6757701523149057
OpenADMET-LogD,ECFP4,threshold,MLP-BNN-Full,2,0.6123248103244796,0.5063317304341404,0.8269005630619932,0.7054811831485699
OpenADMET-LogD,ECFP4,threshold,MLP-BNN-Full,3,0.6478497843781474,0.4837281083412481,0.7466670824094893,0.7619772458041965
OpenADMET-LogD,ECFP4,threshold,MLP-BNN-Full,4,0.6324480889276355,0.513534311090263,0.8119785956836395,0.7687932083292935
OpenADMET-LogD,ECFP4,threshold,MLP-VBLL-Full,0,0.6076457627421632,0.4817804396980988,0.7928639829955143,0.807775770534135
OpenADMET-LogD,ECFP4,threshold,MLP-VBLL-Full,1,0.5905067679490796,0.4389102670610466,0.7432772846710108,0.8223097876792773
OpenADMET-LogD,ECFP4,threshold,MLP-VBLL-Full,2,0.6201584664251248,0.4471687402653027,0.7210556083237668,0.800270924567225
OpenADMET-LogD,ECFP4,threshold,MLP-VBLL-Full,3,0.6406938322471046,0.5311500638580422,0.8290232200224876,0.8306148373101854
OpenADMET-LogD,ECFP4,threshold,MLP-VBLL-Full,4,0.6160139470380114,0.4380672306763508,0.7111320007975723,0.8661050594001101
OpenADMET-LogD,ECFP4,threshold,NGBoost,0,0.6022583427484756,0.5834043105130711,0.9686944440663754,0.9642944430920309
OpenADMET-LogD,ECFP4,threshold,NGBoost,1,0.5133834298525042,0.5000581458347666,0.9740441875547756,0.9601096599780987
OpenADMET-LogD,ECFP4,threshold,NGBoost,2,0.5393355924722865,0.5255959823570224,0.9745249334421221,0.9711775225330621
OpenADMET-LogD,ECFP4,threshold,NGBoost,3,0.5124846043700151,0.5282186164023155,1.0307014335613884,0.979227436031305
OpenADMET-LogD,ECFP4,threshold,NGBoost,4,0.5792932387680263,0.5617767164129783,0.9697622530649588,0.9653172790936988
OpenADMET-LogD,ECFP4,threshold,QRF,0,0.6851588628536498,0.5282207783098405,0.7709464285550206,0.7737917503148742
OpenADMET-LogD,ECFP4,threshold,QRF,1,0.5675359621344831,0.2602956665890195,0.45864171428019557,0.5360171956529832
OpenADMET-LogD,ECFP4,threshold,QRF,2,0.6239160200940541,0.3843275635290734,0.6159924591632329,0.747612646466192
OpenADMET-LogD,ECFP4,threshold,QRF,3,0.6274055181824902,0.3936105251188601,0.6273622301874185,0.6871817903633074
OpenADMET-LogD,ECFP4,threshold,QRF,4,0.644254231865145,0.3839663638614651,0.595985784602245,0.6471032254650869
OpenADMET-LogD,ECFP4,threshold,RF,0,0.6450010569181484,0.5349242996281607,0.8293386404420162,0.8378855352001524
OpenADMET-LogD,ECFP4,threshold,RF,1,0.6250881795436531,0.4859178040233937,0.7773588110050952,0.7917942898635649
OpenADMET-LogD,ECFP4,threshold,RF,2,0.6329998293261982,0.5046199189892278,0.7971880806450998,0.8147046618273984
