dataset,rep,strategy,sigma,W,meanSpear,snr_clip,mean_r2c
ChEMBL-hERG-Ki,ECFP4,quantile,0.3,0.5205594405594406,0.40069930069930076,1.6366298617569892,0.3791983092666685
ChEMBL-hERG-Ki,ECFP4,quantile,0.4,0.5518881118881119,0.43986013986013994,1.4060944117249323,0.3619349548577755
ChEMBL-hERG-Ki,ECFP4,quantile,0.5,0.5563636363636364,0.4454545454545455,1.5469984476037415,0.364535026715122
ChEMBL-hERG-Ki,ECFP4,quantile,0.6,0.5776223776223777,0.4720279720279721,1.2952170098797637,0.3329527685192375
ChEMBL-hERG-Ki,ECFP4,quantile,0.7,0.575944055944056,0.46993006993007,1.5286815295925889,0.3156568143878243
ChEMBL-hERG-Ki,ECFP4,quantile,0.8,0.43832167832167834,0.297902097902098,0.7718656882517565,0.2604506570763263
ChEMBL-hERG-Ki,ECFP4,quantile,0.9,0.6067132867132867,0.5083916083916085,1.217567851233746,0.23739248543575805
ChEMBL-hERG-Ki,ECFP4,quantile,1.0,0.6346853146853146,0.5433566433566435,1.3041394523823064,0.19875280921044822
ChEMBL-hERG-Ki,ECFP4,threshold,0.0,0.46517482517482517,0.33146853146853156,1.737686350940013,0.4134609530578327
ChEMBL-hERG-Ki,ECFP4,threshold,0.1,0.5300699300699301,0.41258741258741266,1.616477866727013,0.390221318456516
ChEMBL-hERG-Ki,ECFP4,threshold,0.2,0.5412587412587413,0.4265734265734267,1.5457760890348393,0.3678631937238237
ChEMBL-hERG-Ki,ECFP4,threshold,0.3,0.4606993006993007,0.3258741258741259,1.2684051479494662,0.33851759211705673
ChEMBL-hERG-Ki,ECFP4,threshold,0.4,0.5418181818181819,0.42727272727272736,1.0125355156776201,0.2661886367980475
ChEMBL-hERG-Ki,ECFP4,threshold,0.5,0.44783216783216784,0.3097902097902098,0.9937577304044776,0.229107097135584
ChEMBL-hERG-Ki,ECFP4,threshold,0.6,0.6883916083916084,0.6104895104895107,1.4090840959254614,0.16562006018900896
ChEMBL-hERG-Ki,ECFP4,threshold,0.7,0.8148251748251748,0.7685314685314687,1.7621616528083575,0.08162363871784566
