Strategy,Analysis,Type,Within,eta2,F,p,n
Value-Prop.,Performance,Rep effect,svm,67.26701133357709,21.235227174962624,2.2698339370133018e-13,69
Value-Prop.,Performance,Rep effect,xgboost,87.56066915946592,71.56334596020291,9.750073351122853e-26,68
Value-Prop.,Robustness,Model effect,continuous_pdv,61.81871311896747,15.307703874568254,2.7714390320713308e-17,116
Value-Prop.,Robustness,Model effect,ecfp4,73.22690381982548,23.704137996128956,1.5875287038962425e-24,117
Value-Prop.,Robustness,Model effect,mhggnn,78.16164134480607,34.00143776826647,4.0407464380747396e-22,85
Value-Prop.,Robustness,Model effect,mol2vec,49.70330966918259,9.264397420262888,8.767407114122207e-09,84
Value-Prop.,Robustness,Model effect,morgan,81.62971483138224,43.448275536197514,1.2081198239747817e-28,98
Value-Prop.,Robustness,Model effect,pdv,50.08558660891376,9.532578677357579,1.4016663441425826e-12,127
Value-Prop.,Robustness,Model effect,smiles,91.85164951039097,107.60039672379436,6.157754527460083e-52,117
Value-Prop.,Robustness,Model effect,sns,83.99011827104142,53.51065178795349,4.1707896156667814e-19,57
Value-Prop.,Robustness,Rep effect,dnn,74.47405185728111,25.841442314390886,3.7526230122243033e-16,70
Value-Prop.,Robustness,Rep effect,dnn_bnn_full,53.05619709815811,11.528107587124778,1.7832150720492267e-07,57
Value-Prop.,Robustness,Rep effect,dnn_vbll,29.858629296334083,4.824510774410903,0.0066406210442435335,38
Value-Prop.,Robustness,Rep effect,gauche,11.01282293792133,1.2788266143012106,0.280166990472469,69
Value-Prop.,Robustness,Rep effect,lgb,4.266908563111863,0.40750522989100113,0.894258550903681,72
Value-Prop.,Robustness,Rep effect,mlp,75.68430324187653,30.681045109236237,7.88793374376912e-19,77
Value-Prop.,Robustness,Rep effect,mlp_bnn_full,58.76407108345041,13.965682640089327,1.7305915650451412e-08,55
Value-Prop.,Robustness,Rep effect,mlp_vbll,37.48328060362411,6.99500780907844,0.0008286822774551158,39
Value-Prop.,Robustness,Rep effect,ngboost,1.0564856241088048,0.11104770797800494,0.9894197907003967,58
Value-Prop.,Robustness,Rep effect,qrf,36.19172729429701,6.125704994102953,0.0001454602607850154,60
Value-Prop.,Robustness,Rep effect,rf,18.027898133272306,2.235926941578104,0.051454387453769096,68
Value-Prop.,Robustness,Rep effect,svm,21.66141700354819,2.903357066690336,0.014562198534285637,70
Value-Prop.,Robustness,Rep effect,xgboost,4.6889859598474715,0.5001663001756085,0.8058082029814401,68
Heteroscedastic,Performance,Model effect,continuous_pdv,80.46528983183333,38.19522691191119,3.0399901909112337e-31,114
Heteroscedastic,Performance,Model effect,ecfp4,60.767739773635085,14.069381501151605,3.2817652648043153e-17,122
Heteroscedastic,Performance,Model effect,mhggnn,99.3439147091719,1337.5363318338223,8.829457200574546e-110,119
Heteroscedastic,Performance,Model effect,mol2vec,99.48160111678746,1663.1476345058804,5.934338241160956e-113,117
Heteroscedastic,Performance,Model effect,morgan,86.91838989955151,66.44318950965443,6.856023671477662e-36,100
Heteroscedastic,Performance,Model effect,pdv,81.72867887533327,41.37578637246047,2.2631257123141537e-35,124
Heteroscedastic,Performance,Model effect,smiles,94.68933213502181,170.87105728167236,2.562522365839644e-67,128
Heteroscedastic,Performance,Model effect,sns,60.246565629523275,15.15505932596011,4.739052041912652e-09,56
Heteroscedastic,Performance,Rep effect,dnn,74.8976467778846,28.984419655405773,4.449447458974487e-18,76
Heteroscedastic,Performance,Rep effect,dnn_bnn_full,99.83215545412213,5862.924010434715,4.305663938342731e-93,77
Heteroscedastic,Performance,Rep effect,dnn_vbll,98.9910179256578,922.2320120085885,1.126151910161277e-45,53
Heteroscedastic,Performance,Rep effect,gauche,83.28103509684613,52.30293104759905,1.2985248144041645e-22,70
