model,rep,Heteroscedastic,Gaussian,Outlier,Quantile,Threshold,Value-Prop.,MEAN,STD
svm,continuous_pdv,0.9157645962096886,0.83884555152934,0.9555554743011696,0.870365022270627,0.6198463625688269,0.6816512835266624,0.8136713817343857,0.13371572252568042
xgboost,mhggnn,0.9192319605700341,0.8420293747693972,0.9476637279703782,0.8631827498455356,0.6245339909030577,0.6840914127306561,0.8134555361315098,0.13031974327529897
rf,mhggnn,0.9172404194787456,0.8382197129199818,0.9541696947132478,0.86698595161927,0.6212935968344531,0.6803360804145303,0.8130409093300383,0.13318897490674844
svm,morgan,0.9156612463867775,0.8408232192376905,0.9571345490038972,0.8678038071133227,0.6174917413579278,0.6782445661638237,0.81285985487724,0.13525832826913486
lgb,mol2vec,0.9138320630148844,0.842719144089189,0.952144876052695,0.8648845309133998,0.6180533106579142,0.684398438689152,0.8126720605695391,0.1323975540019242
mlp_bnn_full,pdv,0.9179369477429026,0.8390928141462697,0.9472904170321917,0.8605780814830708,0.6268114067795642,0.6829003169030347,0.812434997347839,0.12929067430817445
lgb,mhggnn,0.9174790888458522,0.8405819619758904,0.9501985446640859,0.8623035283521917,0.6201468228674446,0.6815944892924097,0.8120507393329791,0.13220081149370996
xgboost,mol2vec,0.9167284641114988,0.8384035912055472,0.9495104172616299,0.8624499880243903,0.6205108186330883,0.6804281571994502,0.8113385727392676,0.13198192940945133
mlp,mol2vec,0.9224773879781034,0.846089802929355,0.9466377352731065,0.8677640764554013,0.6136386288376056,0.6638957488870374,0.8100838967267681,0.13846616478927706
mlp_vbll,pdv,0.915003185319097,0.8374139182749353,0.9482371496380979,0.8607511307653353,0.6184217162221783,0.6769552319585329,0.8094637220296961,0.1325622889139006
rf,pdv,0.9167082370333235,0.8383065548158182,0.9510818066327817,0.8626350454824884,0.6072079746243687,0.6692792367576796,0.8075364758910767,0.13838566264556057
svm,smiles,0.912113035392787,0.8319510442408575,0.9562300901709054,0.8697651253353973,0.6047352288115735,0.6659390505029452,0.8067889290757444,0.14049152815759816
dnn,pdv,0.911770493915786,0.8350114099898721,0.942998495860489,0.8541298737693224,0.6116105294890988,0.6734060577057496,0.8048211434550528,0.13302196320307055
mlp_vbll,ecfp4,0.9070978361038774,0.8312541030144587,0.950707705503302,0.855413803487409,0.6083523960726488,0.6695860317161505,0.803735312649641,0.135560436278049
mlp_bnn_full,continuous_pdv,0.9129106109924127,0.8342918344517394,0.9412288801685025,0.8464004447370785,0.6094869582651139,0.6683018008613417,0.8021034215793647,0.13389280957810562
dnn_vbll,pdv,0.9109331961142677,0.829710512734079,0.951929924064077,0.856704487680404,0.5986565017219866,0.6618491409697452,0.8016306272140933,0.14078060931479122
dnn_bnn_full,continuous_pdv,0.9111940458746348,0.828629025196183,0.9419129389160046,0.8464647992294796,0.6062302663195833,0.6687216314390091,0.8005254511624824,0.1343585202880246
mlp_vbll,continuous_pdv,0.9035266091427493,0.8198960995192417,0.9432184219291248,0.839826856683497,0.5947220714350947,0.6537495044371822,0.7924899271911484,0.13885325831001186
dnn_bnn_full,ecfp4,0.8996922571167725,0.8176410124681014,0.9455053532314766,0.8378925575431803,0.5872766550312748,0.6557704867496931,0.7906297203567498,0.14027399354810133
dnn,continuous_pdv,0.9040799594985863,0.820149747921784,0.937867806089852,0.8389409618262116,0.5829329581424004,0.6503944268824359,0.7890609767268782,0.14180587827177168
mlp,pdv,0.9048741814798213,0.8103414872628634,0.942518521508525,0.8420874670616538,0.5869561009334783,0.6472134416310652,0.7889985333129012,0.14226290162132804
dnn_bnn_full,morgan,0.8952919517922866,0.9297246203511591,0.943751711267032,0.8276883078676354,0.5268347284641273,0.6036888073691975,0.7878300211852397,0.1786666895118918
dnn_bnn_full,smiles,0.9014779971313626,0.815532478436063,0.9444258207195618,0.8308136170712177,0.5809466241024542,0.6505100808967184,0.7872844363928962,0.14262457189014074
dnn_bnn_full,sns,0.902123389399241,0.8139246790584876,0.9383037310378305,0.8317380082005462,0.5737496980980431,0.6414453995780418,0.7835474842286984,0.14523288560602057
dnn_vbll,ecfp4,0.9068186327900638,0.8177611006151659,0.9282875958875655,0.8201336011807353,0.5841829471007577,0.6436472840118306,0.7834718602643531,0.13998059998555648
mlp_bnn_full,smiles,0.9006400061947947,0.8114931579224409,0.9452908618743439,0.827604002082246,0.5711264951818038,0.6424599839800513,0.7831024178726134,0.1467110678618929
mlp_bnn_full,ecfp4,0.9049027490115865,0.8101365679061093,0.9414184478163841,0.8319690531001152,0.573944067803256,0.6358326065099866,0.7830339153579065,0.14727774027066282
mlp_vbll,smiles,0.8985763568467109,0.8124485268907274,0.939973560001478,0.8326282339556029,0.5747746505860052,0.6372790968612505,0.7826134041902959,0.14554741574848687
dnn_vbll,continuous_pdv,0.9015507433604215,0.8113783100261363,0.9322176340626888,0.8229418813928047,0.5772304775811237,0.6410150954269376,0.7810556903083521,0.1422666446344773
mlp_bnn_full,sns,0.899082471837432,0.8063037945294366,0.9403642420941569,0.8244152349013623,0.5601908724770176,0.6260853191698564,0.7760736558348769,0.1513110785010654
dnn_vbll,smiles,0.8940017597368093,0.7991793164141181,0.9332057617414107,0.823510302398685,0.5410749341455587,0.6127120458432574,0.7672806867133065,0.15673491019130364
