Strategy,Analysis,Type,Within,eta2,F,p,n
Quantile,Performance,Rep effect,ngboost,98.17509810894751,591.7721300489017,1.2628433887915345e-37,49
Quantile,Performance,Rep effect,rf,95.85360173865905,236.95249609320925,9.488020021346662e-28,46
Quantile,Performance,Rep effect,svm,79.0391430212616,42.42146968948552,1.0127142051948203e-14,50
Quantile,Performance,Rep effect,xgboost,93.809569816141,166.69362828259634,5.663403307624761e-26,49
Quantile,Robustness,Model effect,continuous_pdv,55.6670634357218,12.431026923168142,1.0152015166292765e-13,110
Quantile,Robustness,Model effect,ecfp4,55.81080519686817,11.114370558696706,5.0227239375143295e-12,99
Quantile,Robustness,Model effect,mhggnn,61.122325918453434,15.721703358654679,9.47754166373703e-11,67
Quantile,Robustness,Model effect,mol2vec,54.88766327926737,11.558541167596006,2.011986188021397e-08,64
Quantile,Robustness,Model effect,smiles,83.36493143834225,50.11396925077363,2.955324145798434e-31,100
Quantile,Robustness,Rep effect,dnn,31.515640137781848,4.716920944609394,0.0031798281772464796,46
Quantile,Robustness,Rep effect,dnn_bnn_full,17.637881620823144,2.8910305680203536,0.07283185338040299,30
Quantile,Robustness,Rep effect,dnn_vbll,1.1066150025751544,0.14546974030519413,0.8653148414212646,29
Quantile,Robustness,Rep effect,lgb,1.3814604212139445,0.15058729921857894,0.9617315165322586,48
Quantile,Robustness,Rep effect,mlp,59.66245755336587,16.269881437504043,2.989639395821093e-08,49
Quantile,Robustness,Rep effect,mlp_bnn_full,31.56200128032789,6.22588365024686,0.0059774171832639115,30
Quantile,Robustness,Rep effect,mlp_vbll,20.25518753099996,3.17500080943728,0.059058241783275955,28
Quantile,Robustness,Rep effect,ngboost,10.68390172184218,1.1961899285579174,0.32798640178169036,34
Quantile,Robustness,Rep effect,rf,12.397676552123462,1.521364019695537,0.2129213519553388,48
Quantile,Robustness,Rep effect,svm,4.056861700908733,0.47569523932963786,0.753323259977298,50
Quantile,Robustness,Rep effect,xgboost,4.356161356599176,0.48961580011481376,0.7432924322978985,48
Outlier,Performance,Model effect,continuous_pdv,79.40943738784735,37.02330107645525,1.2512074672824167e-28,107
Outlier,Performance,Model effect,ecfp4,66.38275898060493,19.351708179579607,3.7508664059185733e-19,109
Outlier,Performance,Model effect,mhggnn,99.11174726682607,970.7509687477215,1.0387169510107684e-84,98
Outlier,Performance,Model effect,mol2vec,99.1254985818405,872.801716761728,6.504103769917384e-75,88
Outlier,Performance,Model effect,smiles,94.32718952462075,159.62828713677627,3.2773866249424304e-55,107
Outlier,Performance,Rep effect,dnn,55.18292398992068,12.928569944274285,6.029550100869023e-07,47
Outlier,Performance,Rep effect,dnn_bnn_full,99.82510388774138,5850.371981605287,6.437345397077425e-56,46
Outlier,Performance,Rep effect,dnn_vbll,99.17905747757555,1057.0980662152565,5.811110401259538e-36,40
Outlier,Performance,Rep effect,lgb,93.94915624884361,166.91117325282855,1.3657130414370655e-25,48
