Strategy,Rep,Model,Unc-Error ρ,Unc-Noise ρ (pooled),ECE,Coverage 1σ,Coverage 2σ,Mean Uncertainty,Mean Aleatoric,Mean Epistemic,Unc-Noise ρ σ=0.0,Unc-Noise n σ=0.0,Unc-Noise ρ σ=0.3,Unc-Noise n σ=0.3,Unc-Noise ρ σ=0.6,Unc-Noise n σ=0.6
Gaussian,ecfp4,BNN-α,0.15429013195704794,0.3156170965186404,0.23938615220093323,0.7662385321100917,0.9509174311926606,0.699828769876321,,0.699828769876321,0.13141907193254268,10000,0.010103992565949285,10000,0.021195740920119374,10000
Gaussian,ecfp4,BNN-β,0.2007743187966868,0.3655041808772367,0.29005360922569406,0.7864166666666667,0.9521944444444445,0.7475296541861944,,,0.1267432164094648,10000,0.0011937542794185302,10000,0.02638987942714088,10000
Gaussian,ecfp4,NGBoost,0.22417762182317025,0.3726758554069954,0.10920882536245985,0.6915,0.9416,0.5975477212791575,0.5975477212791575,,0.04402160764051236,1000,-0.02923075403690656,1000,-0.004890268948952176,1000
Gaussian,ecfp4,GP,0.18409253939292541,0.3374376744746124,0.23057172331477538,0.7856,0.9596,0.6453319363634817,0.7317824335588785,0.6453319363634817,-0.24384381349075887,1000,-0.05370071370071371,1000,-0.05568903168903169,1000
Gaussian,ecfp4,VBLL-β,0.19035646547236076,0.3371504681521752,0.1914854345110103,0.7394722222222222,0.9547129629629629,0.671519693169074,0.6338082162037036,0.671519693169074,0.04690371358354398,9000,0.016038214751488783,10000,0.0024541758607626346,10000
Gaussian,ecfp4,VBLL-α,0.10831194562429101,0.3053087701696316,0.2240340438077871,0.7454814814814815,0.9510092592592593,0.7327430063901852,0.6980118873148148,0.7327430063901852,0.14530705164154192,9000,0.01825729003588742,10000,0.013181020716601068,10000
Gaussian,pdv,QRF,0.21212625612078767,0.25989439093676586,0.1438341131977992,0.6511818181818182,0.8906363636363637,0.5389713684372683,0.5389713684372683,,0.36371896201040466,1000,-0.04313955717549531,1000,-0.042124609141115384,1000
Gaussian,pdv,NGBoost,0.24788509678056142,0.44336079984888094,0.1246620768991095,0.6979090909090909,0.9542727272727273,0.5829361393732031,0.5829361393732031,,-0.049918103234698134,1000,7.359611311723649e-05,1000,0.006417099016024643,1000
Gaussian,pdv,BNN-α,0.18188838253095682,0.3297160860053109,0.18807396707795648,0.7336545454545454,0.9489909090909091,0.6307222836995455,,0.6307222836995455,0.06722013877355597,10000,0.002812113735275742,10000,-0.0025238084578490826,10000
Gaussian,pdv,GP,0.21490188086188047,0.28505646432428106,0.2094142401421097,0.7413636363636363,0.9441818181818182,0.6290581274018172,1.4446360320124143,0.6290581274018172,-0.20893941680088352,1000,-0.04155337915764824,1000,-0.04076037021951865,1000
