model_a,model_b,n_shared_reps,icc_1_1,mean_abs_auc_diff,mean_auc_a,mean_auc_b
dnn,gauche,8,-0.6297221689503406,0.060886899488707555,0.7462278710828222,0.8071147705715297
lgb,qrf,7,-0.6297736782289828,0.01248124674073495,0.8166789445994637,0.8044269164657251
dnn_bnn_full,xgboost,6,-0.6505272213003217,0.023618086786709108,0.7943266399126944,0.8179447266994035
gauche,rf,8,-0.654354425777365,0.011039129865753117,0.8071147705715297,0.8168921911278006
mlp_vbll,rf,4,-0.6549773177843328,0.01744528085442168,0.7970755915151952,0.8135572493003073
mlp_bnn_full,rf,6,-0.660460469286803,0.0314000503997107,0.785793496563278,0.8155607064774012
dnn_vbll,xgboost,4,-0.6699713258341045,0.03295186726184732,0.7833597161250263,0.8163115833868736
dnn_vbll,lgb,4,-0.6841384447715809,0.03478233417278692,0.7833597161250263,0.8181420502978132
dnn,xgboost,9,-0.6877517947035721,0.06616954577904433,0.7509871050432728,0.8171566508223171
dnn,rf,9,-0.7344982703021554,0.0659969787669036,0.7509871050432728,0.8169840838101765
dnn,ngboost,9,-0.736099843218735,0.07375030725261061,0.7509871050432728,0.8247374122958835
dnn_bnn_full,ngboost,6,-0.7365620150164072,0.030536605190549737,0.7943266399126944,0.8248632451032444
mlp_vbll,ngboost,4,-0.7590342738447569,0.028143680211308364,0.7970755915151952,0.8252192717265037
ngboost,qrf,8,-0.7814926092695308,0.020345872027721007,0.8252516086933788,0.8049057366656578
dnn_bnn_full,rf,6,-0.7879922340909242,0.024102816651047982,0.7943266399126944,0.8155607064774012
dnn_vbll,rf,4,-0.7999283871388834,0.03019753317528104,0.7833597161250263,0.8135572493003073
dnn_vbll,ngboost,4,-0.8166481237279956,0.041859555601477416,0.7833597161250263,0.8252192717265037
gauche,ngboost,8,-0.8262626595956193,0.017719093407401756,0.8071147705715297,0.8248338639789314
