model,rep,strategy,sigma,iteration,r2
mlp_vbll,mhggnn,outlier,0.8,4,-0.5625365972518921
mlp_vbll,mhggnn,outlier,0.9,2,-0.547224760055542
mlp_vbll,mhggnn,outlier,0.9,3,-3.243374824523926
mlp_vbll,mhggnn,outlier,0.9,9,-10.590896606445312
mlp_vbll,mol2vec,threshold,0.0,9,-2.422071695327759
mlp_vbll,mol2vec,threshold,0.1,9,-1.3727531433105469
mlp_vbll,mol2vec,threshold,0.2,6,-2.3240764141082764
mlp_vbll,mol2vec,threshold,0.3,8,-0.6190744638442993
mlp_vbll,mol2vec,threshold,0.4,8,-1.4881329536437988
mlp_vbll,mol2vec,threshold,0.6,6,-0.719446063041687
mlp_vbll,mol2vec,threshold,0.8,9,-33.93295669555664
mlp_vbll,mol2vec,threshold,1.0,6,-0.8005223274230957
mlp_vbll,mol2vec,quantile,0.0,2,-1531.51416015625
mlp_vbll,mol2vec,quantile,0.0,9,-2.422071695327759
mlp_vbll,mol2vec,quantile,0.1,1,-18.413095474243164
mlp_vbll,mol2vec,quantile,0.2,1,-1.3189573287963867
mlp_vbll,mol2vec,quantile,0.2,7,-5.303654193878174
mlp_vbll,mol2vec,quantile,0.3,3,-1.4167015552520752
mlp_vbll,mol2vec,quantile,0.3,7,-1.4829118251800537
mlp_vbll,mol2vec,quantile,0.3,9,-4.016385555267334
mlp_vbll,mol2vec,quantile,0.5,6,-0.7011146545410156
mlp_vbll,mol2vec,quantile,0.6,3,-2.736511468887329
mlp_vbll,mol2vec,quantile,0.7,4,-7.069794654846191
mlp_vbll,mol2vec,quantile,0.7,8,-1.184536695480347
mlp_vbll,mol2vec,quantile,0.8,0,-0.8673559427261353
mlp_vbll,mol2vec,quantile,0.8,6,-1.0907659530639648
mlp_vbll,mol2vec,quantile,0.8,9,-4.485859394073486
mlp_vbll,mol2vec,quantile,0.9,4,-22.144344329833984
mlp_vbll,mol2vec,quantile,0.9,7,-1.2702555656433103
mlp_vbll,mol2vec,quantile,1.0,2,-2.100076198577881
mlp_vbll,mol2vec,outlier,0.0,9,-2.422071695327759
mlp_vbll,mol2vec,outlier,0.1,0,-0.603655219078064
mlp_vbll,mol2vec,outlier,0.1,9,-0.6008236408233643
mlp_vbll,mol2vec,outlier,0.2,0,-1.3270254135131836
mlp_vbll,mol2vec,outlier,0.2,7,-5.872925758361816
mlp_vbll,mol2vec,outlier,0.3,4,-0.5107113122940063
mlp_vbll,mol2vec,outlier,0.5,0,-5.218868732452393
mlp_vbll,mol2vec,outlier,0.5,1,-0.6640872955322266
mlp_vbll,mol2vec,outlier,0.5,2,-6.126095771789551
mlp_vbll,mol2vec,outlier,0.5,3,-1.662574052810669
mlp_vbll,mol2vec,outlier,0.5,7,-1.175750494003296
mlp_vbll,mol2vec,outlier,0.6,8,-1.9833333492279053
mlp_vbll,mol2vec,outlier,0.7,7,-0.830772876739502
mlp_vbll,mol2vec,outlier,0.7,8,-2.624389171600342
mlp_vbll,mol2vec,outlier,0.9,7,-12.159350395202637
mlp_vbll,mol2vec,outlier,1.0,4,-4.29034948348999
mlp_vbll,mol2vec,outlier,1.0,9,-0.6641149520874023
mlp_vbll,mhggnn,legacy,0.0,2,-4.089725017547607
mlp_vbll,mhggnn,legacy,0.1,0,-2.631551504135132
mlp_vbll,mhggnn,legacy,0.1,5,-1.000760555267334
mlp_vbll,mhggnn,legacy,0.2,1,-0.8784962892532349
mlp_vbll,mhggnn,legacy,0.2,9,-4.005716800689697
mlp_vbll,mhggnn,legacy,0.5,7,-14.704767227172852
mlp_vbll,mhggnn,legacy,0.7,9,-7.945796012878418
mlp_vbll,mhggnn,legacy,0.8,4,-0.839988112449646
mlp_vbll,mhggnn,legacy,0.8,8,-1.1766412258148191
dnn_vbll,mol2vec,threshold,0.0,3,-0.5268568992614746
dnn_vbll,mol2vec,threshold,0.1,0,-1.227940797805786
dnn_vbll,mol2vec,threshold,0.4,8,-0.5478211641311646
dnn_vbll,mol2vec,threshold,0.6,5,-1.1941826343536377
dnn_vbll,mol2vec,threshold,0.6,7,-0.6624855995178223
dnn_vbll,mol2vec,threshold,0.7,0,-7.627897262573242
dnn_vbll,mol2vec,threshold,0.7,2,-1.3914103507995603
dnn_vbll,mol2vec,threshold,0.9,6,-18.509389877319336
dnn_vbll,mol2vec,threshold,1.0,5,-1.2232630252838137
dnn_vbll,mol2vec,threshold,1.0,7,-1.6393940448760986
mlp_vbll,mol2vec,legacy,0.0,9,-2.6507036685943604
mlp_vbll,mol2vec,legacy,0.1,1,-4.383831977844238
mlp_vbll,mol2vec,legacy,0.1,2,-20.84419250488281
mlp_vbll,mol2vec,legacy,0.1,6,-0.5858277082443237
mlp_vbll,mol2vec,legacy,0.1,8,-2.152780532836914
mlp_vbll,mol2vec,legacy,0.5,5,-4.58459997177124
mlp_vbll,mol2vec,legacy,0.6,0,-4.849283695220947
mlp_vbll,mol2vec,legacy,0.6,6,-0.6415400505065918
mlp_vbll,mol2vec,legacy,0.8,0,-0.9751168489456176
mlp_vbll,mol2vec,legacy,0.9,4,-1.2194719314575195
mlp_vbll,mol2vec,legacy,0.9,7,-1.064706563949585
mlp_vbll,mol2vec,legacy,0.9,9,-10.278048515319824
mlp,continuous_pdv,valprop,0.4,9,-1.5486161795382752e+32
