dataset,strategy,resp,model,rep,inter,resid,n
OpenADMET-Caco2_Efflux,outlier,R2@0.6,36.26475182651906,4.228328671816041,19.96210426373177,39.54481523793313,176
OpenADMET-Caco2_Efflux,outlier,retention,60.894693660654475,2.328959657433456,9.405437589347413,27.370909092564645,176
OpenADMET-Caco2_Efflux,quantile,cleanR2,15.149263617299365,8.034329429183146,17.836600140152047,58.97980681336544,171
OpenADMET-Caco2_Efflux,quantile,R2@0.6,35.719796029415534,11.252417830304895,13.25177184002449,39.776014300255085,171
OpenADMET-Caco2_Efflux,quantile,retention,55.25209994375017,7.101011253973133,12.951122514430649,24.69576628784605,171
OpenADMET-Caco2_Efflux,threshold,cleanR2,10.812658536636492,2.8204423487863157,20.311068975101662,66.05583013947553,188
OpenADMET-Caco2_Efflux,threshold,R2@0.6,31.91931315524984,6.2667783620016735,15.03004064568485,46.783867837063625,188
OpenADMET-Caco2_Efflux,threshold,retention,53.3452479710601,3.6140745224504216,13.540121961483223,29.500555545006254,188
OpenADMET-Caco2_Efflux,valprop,cleanR2,18.93091430912284,8.028869479818294,13.961139030080194,59.07907718097868,167
OpenADMET-Caco2_Efflux,valprop,R2@0.6,42.44309286183706,7.967583603713214,14.427985370430385,35.16133816401934,167
OpenADMET-Caco2_Efflux,valprop,retention,61.856157989583096,6.811321240183681,8.886494799702126,22.446025970531092,167
OpenADMET-LogD,hetero,cleanR2,51.74644024126528,17.495936054164133,17.280112109518726,13.47751159505186,215
OpenADMET-LogD,hetero,R2@0.6,33.33711162460257,16.64397363941035,35.3377120929421,14.681202643044985,215
OpenADMET-LogD,hetero,retention,8.953355646030445,7.016403248072396,56.044642816983554,27.98559828891361,215
OpenADMET-LogD,legacy,cleanR2,49.309811464243296,23.737152287255295,12.969984940893493,13.983051307607917,212
OpenADMET-LogD,legacy,R2@0.6,48.808854228529825,20.514522385597655,17.24514772029662,13.431475665575878,212
OpenADMET-LogD,legacy,retention,28.39655354326626,6.430440116636355,46.898305565010645,18.274700775086743,212
OpenADMET-LogD,outlier,cleanR2,47.085518286119814,20.318941675015935,18.151791444133014,14.443748594731236,216
OpenADMET-LogD,outlier,R2@0.6,48.731540142053504,20.90002919427716,20.109838007735334,10.258592655933995,216
OpenADMET-LogD,outlier,retention,21.125124536886535,9.879839804371866,53.140556453351294,15.85447920539031,216
OpenADMET-LogD,quantile,cleanR2,46.36677117747876,20.258847188087337,14.197250169593095,19.1771314648408,213
OpenADMET-LogD,quantile,R2@0.6,44.76740617807547,22.032916353375903,19.989316226457692,13.210361242090922,213
OpenADMET-LogD,quantile,retention,15.665989393159329,6.145128230668695,54.18056442501728,24.008317951154687,213
OpenADMET-LogD,threshold,cleanR2,52.34353246289973,19.66081721184833,11.980877661755894,16.014772663496053,212
OpenADMET-LogD,threshold,R2@0.6,49.54793979464627,22.925769306277566,16.24727240304535,11.279018496030803,212
OpenADMET-LogD,threshold,retention,51.74078792135923,10.34884171870265,27.90529713850054,10.00507322143757,212
OpenADMET-LogD,valprop,cleanR2,52.325957966757926,17.45230516835839,16.34066123913578,13.881075625747904,211
OpenADMET-LogD,valprop,R2@0.6,45.32505665572729,23.21215100820824,20.03960391359025,11.423188422474238,211
OpenADMET-LogD,valprop,retention,34.810752162296005,10.617306887049857,42.839542273503284,11.73239867715085,211
