dataset,model,rep,strategy,ratio,n,mad_matched,mad_nominal
OpenADMET-Caco2_Efflux,QRF,ECFP4,threshold,0.6143509722263227,11,0.03288062680240912,0.259485914133946
OpenADMET-Caco2_Efflux,QRF,ECFP4,outlier,0.7642612944784348,11,0.1693219313013772,0.09037035977679145
OpenADMET-Caco2_Efflux,QRF,ECFP4,hetero,0.3427679929691543,11,0.008364165106715775,0.39943180647979837
OpenADMET-Caco2_Efflux,QRF,MHG-GNN-pretrained,valprop,1.0176820226376952,10,0.020949319432566706,0.0306784797935911
OpenADMET-Caco2_Efflux,QRF,MHG-GNN-pretrained,quantile,0.9058450742113295,11,0.09725042947776577,0.15922066682116026
OpenADMET-Caco2_Efflux,QRF,MHG-GNN-pretrained,threshold,0.6143509722263227,11,0.04352991861087222,0.22643412343030309
OpenADMET-Caco2_Efflux,QRF,MHG-GNN-pretrained,outlier,0.7642612944784348,11,0.0700059851747882,0.17190603017193143
OpenADMET-Caco2_Efflux,QRF,MHG-GNN-pretrained,hetero,0.3427679929691543,11,0.007315594302601561,0.29889199110677106
OpenADMET-Caco2_Efflux,QRF,PDV,valprop,1.0176820226376952,10,0.02780740114427298,0.03793050079580233
OpenADMET-Caco2_Efflux,QRF,PDV,quantile,0.9058450742113295,11,0.060107754921046024,0.11695411862513701
OpenADMET-Caco2_Efflux,QRF,PDV,threshold,0.6143509722263227,11,0.025156394198169875,0.17185745758909515
OpenADMET-Caco2_Efflux,QRF,PDV,outlier,0.7642612944784348,11,0.05497574850794849,0.13186265274949377
OpenADMET-Caco2_Efflux,QRF,PDV,hetero,0.3427679929691543,11,0.005689152475810346,0.282031346647843
OpenADMET-Caco2_Efflux,QRF,SNS,valprop,1.0176820226376952,10,0.03300758780080425,0.0416495599036165
OpenADMET-Caco2_Efflux,QRF,SNS,quantile,0.9058450742113295,11,0.05604349385517926,0.15089828328521523
OpenADMET-Caco2_Efflux,QRF,SNS,threshold,0.6143509722263227,11,0.05814338831335415,0.31141446701530096
OpenADMET-Caco2_Efflux,QRF,SNS,outlier,0.7642612944784348,11,0.08919055331883835,0.22680521900191375
OpenADMET-Caco2_Efflux,QRF,SNS,hetero,0.3427679929691543,11,0.005999283226975205,0.43436039600930076
OpenADMET-Caco2_Efflux,RF,ECFP4,valprop,1.0176820226376952,10,0.01710202529429069,0.025377088586299074
OpenADMET-Caco2_Efflux,RF,ECFP4,quantile,0.9058450742113295,11,0.1185175030660988,0.07206184418273623
OpenADMET-Caco2_Efflux,RF,ECFP4,threshold,0.6143509722263227,11,0.05914269399413794,0.09484980989215291
OpenADMET-Caco2_Efflux,RF,ECFP4,outlier,0.7642612944784348,11,0.10508632231328754,0.050380387035548944
OpenADMET-Caco2_Efflux,RF,ECFP4,hetero,0.3427679929691543,11,0.005653086668215618,0.22574214645207258
OpenADMET-Caco2_Efflux,RF,MHG-GNN-pretrained,valprop,1.0176820226376952,10,0.014997415225814237,0.02029802479777456
OpenADMET-Caco2_Efflux,RF,MHG-GNN-pretrained,quantile,0.9058450742113295,11,0.08714014131688289,0.05825023565185127
OpenADMET-Caco2_Efflux,RF,MHG-GNN-pretrained,threshold,0.6143509722263227,11,0.06770260734083307,0.036919978405128916
OpenADMET-Caco2_Efflux,RF,MHG-GNN-pretrained,outlier,0.7642612944784348,11,0.09827539258376085,0.030795444692163654
OpenADMET-Caco2_Efflux,RF,MHG-GNN-pretrained,hetero,0.3427679929691543,11,0.008852100586817317,0.14092125560544813
OpenADMET-Caco2_Efflux,RF,PDV,valprop,1.0176820226376952,10,0.013203856648013008,0.018475984132583577
OpenADMET-Caco2_Efflux,RF,PDV,quantile,0.9058450742113295,11,0.06987607155735245,0.042871901833252964
OpenADMET-Caco2_Efflux,RF,PDV,threshold,0.6143509722263227,11,0.05369535417861653,0.046859937315950104
OpenADMET-Caco2_Efflux,RF,PDV,outlier,0.7642612944784348,11,0.0990050551220106,0.03800909033154835
OpenADMET-Caco2_Efflux,RF,PDV,hetero,0.3427679929691543,11,0.01148641334980206,0.15295280477084164
OpenADMET-Caco2_Efflux,RF,SNS,valprop,1.0176820226376952,10,0.022813867553881984,0.03347245280422759
OpenADMET-Caco2_Efflux,RF,SNS,quantile,0.9058450742113295,11,0.0851647517863028,0.038283557625210435
OpenADMET-Caco2_Efflux,RF,SNS,threshold,0.6143509722263227,11,0.040177775926200525,0.14036104475343522
OpenADMET-Caco2_Efflux,RF,SNS,outlier,0.7642612944784348,11,0.08188844591151906,0.06637223661275361
OpenADMET-Caco2_Efflux,RF,SNS,hetero,0.3427679929691543,11,0.011209794817542619,0.24618994962114019
OpenADMET-Caco2_Efflux,SVM,ECFP4,valprop,1.0176820226376952,10,0.013540788938456848,0.018733973997194463
