dataset,model,rep,strategy,fold,baseline,auc_norm,r2_06
ChEMBL-hERG-Ki,LightGBM,MHG-GNN-pretrained,legacy,4,0.3628639758930064,0.7150612568332898,0.2771115576378619
ChEMBL-hERG-Ki,LightGBM,MHG-GNN-pretrained,outlier,0,0.5955987809010761,0.9199289564390273,0.5492709218500254
ChEMBL-hERG-Ki,LightGBM,MHG-GNN-pretrained,outlier,1,0.4819790153845559,0.935808275456056,0.4940380776635835
ChEMBL-hERG-Ki,LightGBM,MHG-GNN-pretrained,outlier,2,0.5895592827920892,0.9349002870706619,0.6256093378315208
ChEMBL-hERG-Ki,LightGBM,MHG-GNN-pretrained,outlier,3,0.4493248235009474,0.8182347398225839,0.2376395534538091
ChEMBL-hERG-Ki,LightGBM,MHG-GNN-pretrained,outlier,4,0.3628639758930064,0.8853615352844324,0.3555817918496537
ChEMBL-hERG-Ki,LightGBM,MHG-GNN-pretrained,quantile,0,0.5955987809010761,0.8121035918701512,0.489732443259206
ChEMBL-hERG-Ki,LightGBM,MHG-GNN-pretrained,quantile,1,0.4819790153845559,0.7767974836925502,0.334392725102981
ChEMBL-hERG-Ki,LightGBM,MHG-GNN-pretrained,quantile,2,0.5895592827920892,0.8867497280677861,0.5646755012641251
ChEMBL-hERG-Ki,LightGBM,MHG-GNN-pretrained,quantile,3,0.4493248235009474,0.6891260960115857,0.2722522564908273
ChEMBL-hERG-Ki,LightGBM,MHG-GNN-pretrained,quantile,4,0.3628639758930064,0.7806075462606245,0.3775458135415123
ChEMBL-hERG-Ki,LightGBM,MHG-GNN-pretrained,threshold,0,0.5955987809010761,0.41506903720161753,0.2618727233738173
ChEMBL-hERG-Ki,LightGBM,MHG-GNN-pretrained,threshold,1,0.4819790153845559,0.11971480430671011,-0.1029433017303103
ChEMBL-hERG-Ki,LightGBM,MHG-GNN-pretrained,threshold,2,0.5895592827920892,0.43777403014295696,0.3101254852183713
ChEMBL-hERG-Ki,LightGBM,MHG-GNN-pretrained,threshold,3,0.4493248235009474,0.09748350350543897,-0.0364903076043992
ChEMBL-hERG-Ki,LightGBM,MHG-GNN-pretrained,threshold,4,0.3628639758930064,-0.3668962870207212,-0.1593238710733333
ChEMBL-hERG-Ki,LightGBM,MHG-GNN-pretrained,valprop,0,0.5955987809010761,0.4746857355310878,0.228862759016602
ChEMBL-hERG-Ki,LightGBM,MHG-GNN-pretrained,valprop,1,0.4819790153845559,0.25101192782578624,-0.1935065670549034
ChEMBL-hERG-Ki,LightGBM,MHG-GNN-pretrained,valprop,2,0.5895592827920892,0.4807867378212682,0.2261697928829344
ChEMBL-hERG-Ki,LightGBM,MHG-GNN-pretrained,valprop,3,0.4493248235009474,0.10653990530528958,0.0287056462592518
ChEMBL-hERG-Ki,LightGBM,MHG-GNN-pretrained,valprop,4,0.3628639758930064,-0.24013500888309364,-0.0709384814233655
ChEMBL-hERG-Ki,LightGBM,PDV,hetero,0,0.5204690694670746,0.919535700477208,0.4617218513203116
ChEMBL-hERG-Ki,LightGBM,PDV,hetero,1,0.4645402186598462,0.9597291115537059,0.4535433845940525
ChEMBL-hERG-Ki,LightGBM,PDV,hetero,2,0.4829055502886286,0.9308026838212965,0.4388004392598515
ChEMBL-hERG-Ki,LightGBM,PDV,hetero,3,0.5151657938201728,0.9066136276910983,0.4950035790820337
ChEMBL-hERG-Ki,LightGBM,PDV,hetero,4,0.5608228288820573,0.9133281926963578,0.550603581119014
ChEMBL-hERG-Ki,LightGBM,PDV,legacy,0,0.5204690694670746,0.797281725106553,0.3975813232114946
ChEMBL-hERG-Ki,LightGBM,PDV,legacy,1,0.4645402186598462,0.8397895413052325,0.3926884055270415
ChEMBL-hERG-Ki,LightGBM,PDV,legacy,2,0.4829055502886286,0.7749243200848882,0.369844958340056
ChEMBL-hERG-Ki,LightGBM,PDV,legacy,3,0.5151657938201728,0.8206602873911253,0.4419447227597783
ChEMBL-hERG-Ki,LightGBM,PDV,legacy,4,0.5608228288820573,0.8342535231434219,0.5154625720734181
ChEMBL-hERG-Ki,LightGBM,PDV,outlier,0,0.5204690694670746,0.9086897742691764,0.5269683071101933
ChEMBL-hERG-Ki,LightGBM,PDV,outlier,1,0.4645402186598462,0.9440325482775616,0.5250518556302659
ChEMBL-hERG-Ki,LightGBM,PDV,outlier,2,0.4829055502886286,0.9101861180124704,0.4140677669804219
ChEMBL-hERG-Ki,LightGBM,PDV,outlier,3,0.5151657938201728,0.9399566910977826,0.4889193250148564
ChEMBL-hERG-Ki,LightGBM,PDV,outlier,4,0.5608228288820573,0.834609609713937,0.4589888316224016
ChEMBL-hERG-Ki,LightGBM,PDV,quantile,0,0.5204690694670746,0.803870117994762,0.5046900166959426
ChEMBL-hERG-Ki,LightGBM,PDV,quantile,1,0.4645402186598462,0.8559428453493401,0.4420597948713082
ChEMBL-hERG-Ki,LightGBM,PDV,quantile,2,0.4829055502886286,0.8000196223010466,0.392402446718775
ChEMBL-hERG-Ki,LightGBM,PDV,quantile,3,0.5151657938201728,0.8350681973571545,0.4554559860700281
ChEMBL-hERG-Ki,LightGBM,PDV,quantile,4,0.5608228288820573,0.7105095702605578,0.3682307892937437
ChEMBL-hERG-Ki,LightGBM,PDV,threshold,0,0.5204690694670746,0.28529011848559604,0.1974775314299787
ChEMBL-hERG-Ki,LightGBM,PDV,threshold,1,0.4645402186598462,0.07647994970476371,0.1447571138158875
ChEMBL-hERG-Ki,LightGBM,PDV,threshold,2,0.4829055502886286,0.22937928599768923,0.1414354031096947
ChEMBL-hERG-Ki,LightGBM,PDV,threshold,3,0.5151657938201728,0.3406058692620293,0.1628818428130259
ChEMBL-hERG-Ki,LightGBM,PDV,threshold,4,0.5608228288820573,0.2914383834198869,0.265369286941759
ChEMBL-hERG-Ki,LightGBM,PDV,valprop,0,0.5204690694670746,0.3664971581075008,0.1672268581079018
ChEMBL-hERG-Ki,LightGBM,PDV,valprop,1,0.4645402186598462,0.20030902711825677,0.1731396664602529
ChEMBL-hERG-Ki,LightGBM,PDV,valprop,2,0.4829055502886286,0.31307919747329094,0.1610124789834086
ChEMBL-hERG-Ki,LightGBM,PDV,valprop,3,0.5151657938201728,0.39045508059774103,0.1266908107615761
ChEMBL-hERG-Ki,LightGBM,PDV,valprop,4,0.5608228288820573,0.3663835609450496,0.2694852492932695
ChEMBL-hERG-Ki,LightGBM,SNS,hetero,0,0.532816899135538,0.9734743028898477,0.5193089178005659
ChEMBL-hERG-Ki,LightGBM,SNS,hetero,1,0.5653943434746173,0.9345895646431002,0.5212384140817627
ChEMBL-hERG-Ki,LightGBM,SNS,hetero,2,0.4747924445772712,0.9591776246548481,0.4148896423014502
ChEMBL-hERG-Ki,LightGBM,SNS,hetero,3,0.5870632944023952,0.8964928582860618,0.5383402091490721
ChEMBL-hERG-Ki,LightGBM,SNS,hetero,4,0.5028153140260351,0.8790502538678672,0.4344199257352547
ChEMBL-hERG-Ki,LightGBM,SNS,legacy,0,0.532816899135538,0.8958775607355507,0.4579468666173476
ChEMBL-hERG-Ki,LightGBM,SNS,legacy,1,0.5653943434746173,0.8290277015604031,0.4438642465906005
ChEMBL-hERG-Ki,LightGBM,SNS,legacy,2,0.4747924445772712,0.822898756701036,0.351610177261043
ChEMBL-hERG-Ki,LightGBM,SNS,legacy,3,0.5870632944023952,0.8038324485407775,0.4302608501067188
ChEMBL-hERG-Ki,LightGBM,SNS,legacy,4,0.5028153140260351,0.7596025044498247,0.39090113986587
ChEMBL-hERG-Ki,LightGBM,SNS,outlier,0,0.532816899135538,0.9491108219577445,0.4958243916517688
ChEMBL-hERG-Ki,LightGBM,SNS,outlier,1,0.5653943434746173,0.9468271574253351,0.5079392869830298
ChEMBL-hERG-Ki,LightGBM,SNS,outlier,2,0.4747924445772712,1.0245779456842743,0.4734069316029626
ChEMBL-hERG-Ki,LightGBM,SNS,outlier,3,0.5870632944023952,0.8695768277575399,0.5321836479666591
ChEMBL-hERG-Ki,LightGBM,SNS,outlier,4,0.5028153140260351,0.8614800950903845,0.4107285395058374
ChEMBL-hERG-Ki,LightGBM,SNS,quantile,0,0.532816899135538,0.849128310300169,0.4798908289821786
ChEMBL-hERG-Ki,LightGBM,SNS,quantile,1,0.5653943434746173,0.829396863426076,0.4547208626859151
ChEMBL-hERG-Ki,LightGBM,SNS,quantile,2,0.4747924445772712,0.8321953753501541,0.4351840023082991
ChEMBL-hERG-Ki,LightGBM,SNS,quantile,3,0.5870632944023952,0.7722110823860766,0.4068083786272737
ChEMBL-hERG-Ki,LightGBM,SNS,quantile,4,0.5028153140260351,0.8001221306865416,0.3840839952525239
