model,rep,strategy,nds_mean,nds_std,baseline_r2,n_iterations,in_anova
gauche,ecfp4,outlier,-0.1182324545508535,,0.8224827475156756,1,False
gauche,ecfp4,quantile,-0.30014050956111105,,0.8224827475156756,1,False
gauche,ecfp4,threshold,-0.6509946539931797,,0.8224827475156756,1,False
gauche,ecfp4,valprop,-0.5833836759466985,,0.8224827475156756,1,False
gauche,mhggnn,hetero,-0.21543742698817459,,0.872407161650744,1,False
gauche,mhggnn,legacy,-0.37667327488745106,,0.8741702235175546,1,False
gauche,mhggnn,outlier,-0.12955056810256882,,0.8724101327080185,1,False
gauche,mhggnn,quantile,-0.3287854012051926,,0.872407161650744,1,False
gauche,mhggnn,threshold,-0.7017465600808067,,0.872407161650744,1,False
gauche,mhggnn,valprop,-0.6310524685498011,,0.8706395070886399,1,False
gauche,mol2vec,hetero,-0.22464470752024793,,0.8683085598598659,1,False
gauche,mol2vec,legacy,-0.38961471945238013,,0.8690779129585553,1,False
gauche,mol2vec,outlier,-0.13336156370722754,,0.8676757902126917,1,False
gauche,mol2vec,quantile,-0.3370756131984991,,0.8676757902126917,1,False
gauche,mol2vec,threshold,-0.701009547840345,,0.8676757902126917,1,False
gauche,mol2vec,valprop,-0.6352365137022958,,0.8676757902126917,1,False
gauche,morgan,hetero,-0.20357462320432232,,0.8035248193772228,1,False
gauche,morgan,legacy,-0.3551012238773001,,0.8037402758297182,1,False
gauche,morgan,outlier,-0.11952796693616494,,0.8035248193772228,1,False
gauche,morgan,quantile,-0.30914626289198,,0.8035248193772228,1,False
gauche,morgan,threshold,-0.6518996027954188,,0.8035248193772228,1,False
gauche,morgan,valprop,-0.5895940702798569,,0.8212972620996082,1,False
gauche,pdv,hetero,-0.204512898451298,,0.8655824067862865,1,False
gauche,pdv,legacy,-0.36513766101706047,,0.8655055079536235,1,False
gauche,pdv,outlier,-0.12416363631371699,,0.865505508080453,1,False
gauche,pdv,quantile,-0.3163666184214121,,0.865505508080453,1,False
gauche,pdv,threshold,-0.6909736808969553,,0.865505508080453,1,False
gauche,pdv,valprop,-0.6201544481050001,,0.865505508080453,1,False
gauche,randomized_smiles,legacy,-0.31443760145390004,,0.7219134854054922,1,False
gauche,randomized_smiles,outlier,-0.11234504758867685,,0.7219134854054922,1,False
gauche,randomized_smiles,quantile,-0.27686506736774386,,0.7219134854054922,1,False
gauche,randomized_smiles,threshold,-0.5917882911498152,,0.7192077508345901,1,False
gauche,smiles,hetero,-0.2070863264021499,,0.8061913692777616,1,False
gauche,smiles,legacy,-0.3620701989403087,,0.8061913692777617,1,False
gauche,smiles,outlier,-0.1244566194123,,0.8061913692777616,1,False
gauche,smiles,quantile,-0.3156044603438284,,0.8061913692777616,1,False
gauche,smiles,threshold,-0.6640915400416243,,0.8061913692777616,1,False
gauche,smiles,valprop,-0.5999547117720362,,0.8061913692777616,1,False
gauche,sns,hetero,-0.2074025700096987,,0.8543896434433489,1,False
gauche,sns,legacy,-0.36728824077891675,,0.8543896434433483,1,False
gauche,sns,outlier,-0.12486574184199416,,0.8543896434433489,1,False
gauche,sns,quantile,-0.3197108968172095,,0.8543896434433489,1,False
gauche,sns,threshold,-0.690160257205504,,0.8543896434433489,1,False
gauche,sns,valprop,-0.6206059886585867,,0.8543896434433489,1,False
gauche_rbf,continuous_pdv,hetero,-0.21079197957846954,,0.8881010972702555,1,False
gauche_rbf,continuous_pdv,legacy,-0.37484345394640856,,0.8881010972702555,1,False
gauche_rbf,continuous_pdv,outlier,-0.13779981185383217,,0.8881009728960465,1,False
gauche_rbf,continuous_pdv,quantile,-0.3242917023179555,,0.8889574065427739,1,False
gauche_rbf,continuous_pdv,threshold,-0.7103779010994726,,0.8889574065427739,1,False
gauche_rbf,continuous_pdv,valprop,-0.6372183015182633,,0.8881009728960465,1,False
lgb,continuous_pdv,hetero,-0.20085830716103717,,0.8904945952044013,1,True
lgb,continuous_pdv,legacy,-0.3646409126287812,,0.8904945952044013,1,True
lgb,continuous_pdv,outlier,-0.12528794664255785,,0.8904945952044013,1,True
lgb,continuous_pdv,quantile,-0.32339751122615307,,0.8904945952044013,1,True
lgb,continuous_pdv,threshold,-0.7200741743727082,,0.8904945952044013,1,True
lgb,continuous_pdv,valprop,-0.6404413128548808,,0.8904945952044013,1,True
lgb,ecfp4,hetero,-0.1777430719212117,,0.8062560064115002,1,True
