model_a,model_b,n_shared_reps,icc_1_1,mean_abs_nds_diff,mean_nds_a,mean_nds_b
gauche,qrf,6,-0.07993149728912287,0.032957905666373716,-0.3865232050193599,-0.3660537103615939
dnn_bnn_full,lgb,6,-0.1075448575741508,0.03247140484445846,-0.3975193937413463,-0.36641123548588733
dnn_bnn_full,gauche,5,-0.16126097754775248,0.02366570591968521,-0.39528684151730276,-0.37798302551490026
dnn,dnn_bnn_full,6,-0.16695748992177006,0.055764979433345276,-0.4532843731746916,-0.3975193937413463
ngboost,qrf,6,-0.17446307673354694,0.06132451691008817,-0.3160535187239151,-0.37737803563400324
mlp_bnn_full,qrf,5,-0.203974342327578,0.04443903744691824,-0.3995065569637515,-0.3772755601216417
gauche,lgb,7,-0.2256139186207782,0.0229581022187965,-0.3843733126352857,-0.3624596099177651
lgb,mlp_bnn_full,6,-0.23131985868307714,0.04257000740090678,-0.36641123548588733,-0.40690128173346424
dnn_bnn_full,xgboost,6,-0.23924710106659153,0.037766151216567435,-0.3975193937413463,-0.3626773002675272
gauche,mlp_bnn_full,5,-0.30590287744392136,0.03511330794769533,-0.37798302551490026,-0.4058743860681163
ngboost,xgboost,7,-0.32609275825145706,0.057787802116065504,-0.3120177649340715,-0.369805567050137
dnn_bnn_full,svm,6,-0.3319275400488279,0.033048710640229996,-0.3975193937413463,-0.36447068310111624
mlp_bnn_full,xgboost,6,-0.3459917033130276,0.047864753773015765,-0.40690128173346424,-0.3626773002675272
dnn_vbll,ngboost,3,-0.35260218921268477,0.05017003755721002,-0.3832567519469628,-0.33308671438975274
mlp,mlp_bnn_full,6,-0.3808360478250313,0.09556083104816436,-0.5024621127816286,-0.40690128173346424
dnn_bnn_full,rf,6,-0.3876753626612336,0.053146954655307915,-0.3975193937413463,-0.3518227049495642
mlp_bnn_full,svm,6,-0.38780731109409156,0.04243059863234794,-0.40690128173346424,-0.36447068310111624
gauche,rf,7,-0.41527941706342153,0.045039252476041416,-0.3843733126352857,-0.34117579524420727
dnn_bnn_full,mlp,6,-0.4566198124266233,0.1049427190402823,-0.3975193937413463,-0.5024621127816286
lgb,ngboost,7,-0.46188745653025587,0.060208896307351364,-0.3722266612414229,-0.3120177649340715
mlp,mlp_vbll,4,-0.5002456995142269,0.12406408866690927,-0.4995741976878394,-0.3755101090209301
ngboost,svm,7,-0.5008729387855718,0.05289833078600522,-0.3120177649340715,-0.36491609572007677
mlp_bnn_full,rf,6,-0.520914984537666,0.06324555721175625,-0.40690128173346424,-0.3518227049495642
mlp,svm,8,-0.5227934580089675,0.11870216631994732,-0.48308612417237956,-0.36438395785243227
gauche,svm,7,-0.5274186734919777,0.022903119963499894,-0.3843733126352857,-0.36147019267178576
mlp,qrf,7,-0.5457923936424993,0.12031674609839393,-0.4849421103445188,-0.37071299312638933
dnn,gauche,8,-0.5666363270659951,0.07237428630980375,-0.44788613430649477,-0.3768090237921292
dnn_vbll,mlp,4,-0.5734495636024874,0.12151983660547677,-0.3780543610823626,-0.4995741976878394
dnn,mlp_vbll,4,-0.5902860641696034,0.06384715669711817,-0.4393572657180483,-0.3755101090209301
gauche,mlp,8,-0.5964508197505025,0.11691510560475249,-0.3768090237921292,-0.4855891633450675
lgb,mlp,8,-0.5988073458169723,0.11646104539254096,-0.36662507877983863,-0.48308612417237956
dnn,qrf,7,-0.6182010010900211,0.08496022253241467,-0.4462602207286513,-0.37071299312638933
mlp,rf,8,-0.6374738974087633,0.13630095414023008,-0.48308612417237956,-0.3467851700321495
dnn,svm,8,-0.6567407823401821,0.08327194058073206,-0.44765589843316433,-0.36438395785243227
dnn,xgboost,9,-0.6612010955288091,0.09377118428721788,-0.4465512090374205,-0.35278002475020265
dnn,lgb,8,-0.6765768616935567,0.0810308196533257,-0.44765589843316433,-0.36662507877983863
dnn,dnn_vbll,4,-0.677966794108036,0.061302904635685676,-0.4393572657180483,-0.3780543610823626
mlp,xgboost,9,-0.7206381178414942,0.13446846944429539,-0.4872484941944981,-0.35278002475020265
mlp,ngboost,7,-0.7217868360319564,0.15448651397909235,-0.4665042789131638,-0.3120177649340715
dnn,rf,8,-0.7267310567458704,0.10135230890778525,-0.44765589843316433,-0.3467851700321495
dnn_bnn_full,ngboost,5,-0.8357979219477033,0.08417502530172968,-0.40090543336273965,-0.31673040806100994
dnn,ngboost,7,-0.858594233492144,0.13177055936050866,-0.44378832429458015,-0.3120177649340715
gauche,ngboost,6,-0.8654910622794431,0.08069045967168544,-0.3852893131602708,-0.30459885348858534
mlp_bnn_full,ngboost,5,-0.8889071469251112,0.09463478734647159,-0.41136519540748157,-0.31673040806100994
