Strategy,Analysis,Type,Within,eta2,F,p,n
Quantile,Performance,Rep effect,ngboost,98.17509810894751,591.7721300489017,1.2628433887915345e-37,49
Quantile,Performance,Rep effect,rf,95.85360173865905,236.95249609320925,9.488020021346662e-28,46
Quantile,Performance,Rep effect,svm,79.0391430212616,42.42146968948552,1.0127142051948203e-14,50
Quantile,Performance,Rep effect,xgboost,93.809569816141,166.69362828259634,5.663403307624761e-26,49
Quantile,Robustness,Model effect,continuous_pdv,69.00167189960749,22.037206316216228,4.738768089284278e-21,110
Quantile,Robustness,Model effect,ecfp4,62.53336694704068,14.687565556160706,5.461660081900609e-15,99
Quantile,Robustness,Model effect,mhggnn,61.062455467348855,15.68215361298521,9.906903267550433e-11,67
Quantile,Robustness,Model effect,mol2vec,54.32561078647762,11.299402386288342,2.8086303584489442e-08,64
Quantile,Robustness,Model effect,smiles,87.3863640395487,69.27928181337954,1.355466977449453e-36,100
Quantile,Robustness,Rep effect,dnn,34.66912136768196,5.439364990308734,0.0013146147590152237,46
Quantile,Robustness,Rep effect,dnn_bnn_full,6.030933089875854,0.8664297666294302,0.4318136284095395,30
Quantile,Robustness,Rep effect,dnn_vbll,11.142838722553604,1.6302220475049596,0.2152789919624027,29
Quantile,Robustness,Rep effect,lgb,58.63518443340398,15.238270110120178,7.786046150146558e-08,48
Quantile,Robustness,Rep effect,mlp,42.28720332561991,8.059897689697516,5.767108579646279e-05,49
Quantile,Robustness,Rep effect,mlp_bnn_full,11.851728623888707,1.8151046404508206,0.1821320183327194,30
Quantile,Robustness,Rep effect,mlp_vbll,31.957151635084145,5.870777091755654,0.008124208645121438,28
Quantile,Robustness,Rep effect,ngboost,58.92754270138615,14.347216255642714,5.6068683812032125e-06,34
Quantile,Robustness,Rep effect,rf,71.59510776032096,27.095593319953583,2.901414019549242e-11,48
Quantile,Robustness,Rep effect,svm,29.059801888964326,4.608427660987749,0.0033293641820593277,50
Quantile,Robustness,Rep effect,xgboost,62.22737512785624,17.70976427740353,1.1669017481736447e-08,48
Outlier,Performance,Model effect,continuous_pdv,79.40943738784735,37.02330107645525,1.2512074672824167e-28,107
Outlier,Performance,Model effect,ecfp4,66.38275898060493,19.351708179579607,3.7508664059185733e-19,109
Outlier,Performance,Model effect,mhggnn,99.11174726682607,970.7509687477215,1.0387169510107684e-84,98
Outlier,Performance,Model effect,mol2vec,99.1254985818405,872.801716761728,6.504103769917384e-75,88
Outlier,Performance,Model effect,smiles,94.32718952462075,159.62828713677627,3.2773866249424304e-55,107
Outlier,Performance,Rep effect,dnn,55.18292398992068,12.928569944274285,6.029550100869023e-07,47
Outlier,Performance,Rep effect,dnn_bnn_full,99.82510388774138,5850.371981605287,6.437345397077425e-56,46
Outlier,Performance,Rep effect,dnn_vbll,99.17905747757555,1057.0980662152565,5.811110401259538e-36,40
