k,arm,rep,model,dose,r2,base,ret
0.25,B Student-t nu=3,0,RF,0.2503306185150381,0.9212925517112323,0.9282089461436186,0.9925486664816995
0.25,B Student-t nu=3,0,LGBM,0.2503306185150381,0.9277273705774354,0.9379852864169321,0.9890638840629562
0.25,B Student-t nu=3,0,Ridge,0.2503306185150381,0.8863368139876541,0.884274571945325,1.002332128625832
0.25,B Student-t nu=3,1,RF,0.24387216960222227,0.9249276386669084,0.9282089461436186,0.9964649042757637
0.25,B Student-t nu=3,1,LGBM,0.24387216960222227,0.9300609390661265,0.9379852864169321,0.991551735975437
0.25,B Student-t nu=3,1,Ridge,0.24387216960222227,0.8821019180271851,0.884274571945325,0.9975430098443742
0.25,B Student-t nu=3,2,RF,0.23446559812250806,0.9238217896893857,0.9282089461436186,0.9952735249186511
0.25,B Student-t nu=3,2,LGBM,0.23446559812250806,0.9305959754602638,0.9379852864169321,0.9921221461960292
0.25,B Student-t nu=3,2,Ridge,0.23446559812250806,0.8878623766638347,0.884274571945325,1.004057342405105
0.25,C Grouped lam=3,0,RF,0.24715592490364555,0.9240303729415917,0.9282089461436186,0.9954982407577654
0.25,C Grouped lam=3,0,LGBM,0.24715592490364555,0.9314621495514857,0.9379852864169321,0.9930455872177222
0.25,C Grouped lam=3,0,Ridge,0.24715592490364555,0.883994186071679,0.884274571945325,0.9996829198955375
0.25,C Grouped lam=3,1,RF,0.251111507940712,0.9227629539340237,0.9282089461436186,0.9941327949571904
0.25,C Grouped lam=3,1,LGBM,0.251111507940712,0.9267249932157509,0.9379852864169321,0.9879952347182384
0.25,C Grouped lam=3,1,Ridge,0.251111507940712,0.8845964041650207,0.884274571945325,1.0003639505532629
0.25,C Grouped lam=3,2,RF,0.24869997569537122,0.9205262434326711,0.9282089461436186,0.9917230891354081
0.25,C Grouped lam=3,2,LGBM,0.24869997569537122,0.928614674177577,0.9379852864169321,0.9900098515669148
0.25,C Grouped lam=3,2,Ridge,0.24869997569537122,0.8825496479130867,0.884274571945325,0.9980493343504794
0.25,D Contam p=0.05,0,RF,0.24659672044537534,0.9241996228017898,0.9282089461436186,0.9956805810173602
0.25,D Contam p=0.05,0,LGBM,0.24659672044537534,0.9273458634600535,0.9379852864169321,0.988657153677196
0.25,D Contam p=0.05,0,Ridge,0.24659672044537534,0.8839104556113089,0.884274571945325,0.9995882315905397
0.25,D Contam p=0.05,1,RF,0.2479347768364808,0.9210898480613282,0.9282089461436186,0.9923302849947011
0.25,D Contam p=0.05,1,LGBM,0.2479347768364808,0.930590920899006,0.9379852864169321,0.9921167574534433
0.25,D Contam p=0.05,1,Ridge,0.2479347768364808,0.883860606689269,0.884274571945325,0.9995318589166877
0.25,D Contam p=0.05,2,RF,0.2531112950954705,0.9191836726372198,0.9282089461436186,0.9902766790345044
0.25,D Contam p=0.05,2,LGBM,0.2531112950954705,0.9259290186264686,0.9379852864169321,0.9871466344248128
0.25,D Contam p=0.05,2,Ridge,0.2531112950954705,0.8871220521004644,0.884274571945325,1.0032201312188307
0.25,D Contam p=0.10,0,RF,0.24823303601402835,0.923952864636822,0.9282089461436186,0.9954147376789686
0.25,D Contam p=0.10,0,LGBM,0.24823303601402835,0.9261702586121643,0.9379852864169321,0.9874038239449354
0.25,D Contam p=0.10,0,Ridge,0.24823303601402835,0.8832792244531388,0.884274571945325,0.9988743909145815
0.25,D Contam p=0.10,1,RF,0.2432247419605941,0.9219231749115002,0.9282089461436186,0.9932280643725386
0.25,D Contam p=0.10,1,LGBM,0.2432247419605941,0.9278814775610219,0.9379852864169321,0.9892281797995932
0.25,D Contam p=0.10,1,Ridge,0.2432247419605941,0.8831301959412952,0.884274571945325,0.9987058589714818
0.25,D Contam p=0.10,2,RF,0.248917898783938,0.9203009032572858,0.9282089461436186,0.9914803203317658
0.25,D Contam p=0.10,2,LGBM,0.248917898783938,0.9272814824218685,0.9379852864169321,0.9885885160992751
0.25,D Contam p=0.10,2,Ridge,0.248917898783938,0.8853199814422785,0.884274571945325,1.0011822227282343
0.5,A Gaussian,0,RF,0.4967736242192115,0.9047566208396436,0.9282089461436186,0.9747337866097809
0.5,A Gaussian,0,LGBM,0.4967736242192115,0.903253704239154,0.9379852864169321,0.9629721460659032
0.5,A Gaussian,0,Ridge,0.4967736242192115,0.8801828605672508,0.884274571945325,0.9953728044344046
0.5,A Gaussian,1,RF,0.5003258273557835,0.904223175073863,0.9282089461436186,0.9741590822094442
0.5,A Gaussian,1,LGBM,0.5003258273557835,0.9060471037831537,0.9379852864169321,0.9659502306738935
0.5,A Gaussian,1,Ridge,0.5003258273557835,0.8675317759659295,0.884274571945325,0.9810660664565273
0.5,A Gaussian,2,RF,0.4936928307590502,0.9083568479151132,0.9282089461436186,0.9786124683337907
0.5,A Gaussian,2,LGBM,0.4936928307590502,0.9077711324864365,0.9379852864169321,0.9677882431973825
0.5,A Gaussian,2,Ridge,0.4936928307590502,0.8829073835491488,0.884274571945325,0.9984538870170512
0.5,B Student-t nu=10,0,RF,0.5021109490401391,0.907328682403951,0.9282089461436186,0.9775047807646999
0.5,B Student-t nu=10,0,LGBM,0.5021109490401391,0.906966103766049,0.9379852864169321,0.9669299901607463
0.5,B Student-t nu=10,0,Ridge,0.5021109490401391,0.8771909843268869,0.884274571945325,0.9919893799469379
0.5,B Student-t nu=10,1,RF,0.4991258948922014,0.9092483047536581,0.9282089461436186,0.9795728736845996
0.5,B Student-t nu=10,1,LGBM,0.4991258948922014,0.9043543294570459,0.9379852864169321,0.9641455389046077
0.5,B Student-t nu=10,1,Ridge,0.4991258948922014,0.8812957915366647,0.884274571945325,0.9966313852018754
0.5,B Student-t nu=10,2,RF,0.4956301750723086,0.9025426052374171,0.9282089461436186,0.9723485309931174
0.5,B Student-t nu=10,2,LGBM,0.4956301750723086,0.9042361962408434,0.9379852864169321,0.9640195953339429
0.5,B Student-t nu=10,2,Ridge,0.4956301750723086,0.8700025189744032,0.884274571945325,0.9838601567615762
0.5,B Student-t nu=5,0,RF,0.49704688708876404,0.9090640831373734,0.9282089461436186,0.9793744036988812
0.5,B Student-t nu=5,0,LGBM,0.49704688708876404,0.912940300476212,0.9379852864169321,0.9732991697168396
0.5,B Student-t nu=5,0,Ridge,0.49704688708876404,0.8867698750759199,0.884274571945325,1.0028218646218736
0.5,B Student-t nu=5,1,RF,0.49598060816541173,0.9046770169158487,0.9282089461436186,0.9746480258291662
0.5,B Student-t nu=5,1,LGBM,0.49598060816541173,0.9023978967943,0.9379852864169321,0.9620597570793732
0.5,B Student-t nu=5,1,Ridge,0.49598060816541173,0.8794003198594651,0.884274571945325,0.9944878522570914
0.5,B Student-t nu=5,2,RF,0.4982119576092741,0.8988845051147796,0.9282089461436186,0.968407500110108
0.5,B Student-t nu=5,2,LGBM,0.4982119576092741,0.8988596624676534,0.9379852864169321,0.9582875930828967
