dataset,representation,target,replicate,level,condition,family,model,n_train,n_test,label_sd,target_dose,realised_dose,dose_used,dose_mode,unit_dose_g,affected_molecule_fraction,n_noise_groups,largest_group_share,noise_seed,r2,r2_clean
QM9,PDV,homo_lumo_gap,8,0.5,Gaussian,reference,DNN,3200,800,1.3098709049150197,0.5,0.49200180877207156,0.49200180877207156,algebraic,1.0,0.0,1230,0.0746875,60805,0.8516601115776898,0.8815179102358351
QM9,PDV,homo_lumo_gap,8,0.5,Grouped shifted,structure-keyed,DNN,3200,800,1.3098709049150197,0.5,0.46671962449372817,0.46671962449372817,algebraic,1.0,1.0,1230,0.0746875,60805,0.8477284437540589,0.8815179102358351
QM9,PDV,homo_lumo_gap,8,1.0,Gaussian,reference,DNN,3200,800,1.3098709049150197,1.0,0.9880759566837198,0.9880759566837198,algebraic,1.0,0.0,1230,0.0746875,60810,0.7872406086136543,0.8815179102358351
QM9,PDV,homo_lumo_gap,8,1.0,Grouped shifted,structure-keyed,DNN,3200,800,1.3098709049150197,1.0,0.9750426642436621,0.9750426642436621,algebraic,1.0,1.0,1230,0.0746875,60810,0.721097429496586,0.8815179102358351
QM9,PDV,homo_lumo_gap,8,1.5,Gaussian,reference,DNN,3200,800,1.3098709049150197,1.5,1.481768047704996,1.481768047704996,algebraic,1.0,0.0,1230,0.0746875,60815,0.6989321788869785,0.8815179102358351
QM9,PDV,homo_lumo_gap,8,1.5,Grouped shifted,structure-keyed,DNN,3200,800,1.3098709049150197,1.5,1.4367260104331616,1.4367260104331616,algebraic,1.0,1.0,1230,0.0746875,60815,0.3931323601694986,0.8815179102358351
QM9,PDV,homo_lumo_gap,9,0.5,Gaussian,reference,DNN,3193,807,1.3114469285960124,0.5,0.5017161436894869,0.5017161436894869,algebraic,1.0,0.0,1343,0.036642655809583466,60905,0.8747021261096266,0.9140236021752403
QM9,PDV,homo_lumo_gap,9,0.5,Grouped shifted,structure-keyed,DNN,3193,807,1.3114469285960124,0.5,0.5326741015344,0.5326741015344,algebraic,1.0,1.0,1343,0.036642655809583466,60905,0.8246782156176192,0.9140236021752403
QM9,PDV,homo_lumo_gap,9,1.0,Gaussian,reference,DNN,3193,807,1.3114469285960124,1.0,1.0081000968801237,1.0081000968801237,algebraic,1.0,0.0,1343,0.036642655809583466,60910,0.7991749408414384,0.9140236021752403
QM9,PDV,homo_lumo_gap,9,1.0,Grouped shifted,structure-keyed,DNN,3193,807,1.3114469285960124,1.0,0.9958094266810931,0.9958094266810931,algebraic,1.0,1.0,1343,0.036642655809583466,60910,0.610332887942215,0.9140236021752403
QM9,PDV,homo_lumo_gap,9,1.5,Gaussian,reference,DNN,3193,807,1.3114469285960124,1.5,1.5126602822895538,1.5126602822895538,algebraic,1.0,0.0,1343,0.036642655809583466,60915,0.7822979503118721,0.9140236021752403
QM9,PDV,homo_lumo_gap,9,1.5,Grouped shifted,structure-keyed,DNN,3193,807,1.3114469285960124,1.5,1.5602917764534026,1.5602917764534026,algebraic,1.0,1.0,1343,0.036642655809583466,60915,0.4321048833113852,0.9140236021752403
QM9,PDV,homo_lumo_gap,0,0.5,Gaussian,reference,LGBM,3199,801,1.3251350930417456,0.5,0.4950962218339133,0.4950962218339133,algebraic,1.0,0.0,1305,0.08002500781494216,60005,0.8799650642292571,0.9019612311727665
QM9,PDV,homo_lumo_gap,0,0.5,Grouped shifted,structure-keyed,LGBM,3199,801,1.3251350930417456,0.5,0.5664926096867223,0.5664926096867223,algebraic,1.0,1.0,1305,0.08002500781494216,60005,0.8225187550503744,0.9019612311727665
QM9,PDV,homo_lumo_gap,0,1.0,Gaussian,reference,LGBM,3199,801,1.3251350930417456,1.0,1.011956199391355,1.011956199391355,algebraic,1.0,0.0,1305,0.08002500781494216,60010,0.7527906823478661,0.9019612311727665
QM9,PDV,homo_lumo_gap,0,1.0,Grouped shifted,structure-keyed,LGBM,3199,801,1.3251350930417456,1.0,0.9895367864683816,0.9895367864683816,algebraic,1.0,1.0,1305,0.08002500781494216,60010,0.7410222471947312,0.9019612311727665
QM9,PDV,homo_lumo_gap,0,1.5,Gaussian,reference,LGBM,3199,801,1.3251350930417456,1.5,1.4838552495257629,1.4838552495257629,algebraic,1.0,0.0,1305,0.08002500781494216,60015,0.5972075251339608,0.9019612311727665
QM9,PDV,homo_lumo_gap,0,1.5,Grouped shifted,structure-keyed,LGBM,3199,801,1.3251350930417456,1.5,1.5717248229010399,1.5717248229010399,algebraic,1.0,1.0,1305,0.08002500781494216,60015,0.38413378878762416,0.9019612311727665
QM9,PDV,homo_lumo_gap,1,0.5,Gaussian,reference,LGBM,3196,804,1.2841922113560549,0.5,0.5022211276693679,0.5022211276693679,algebraic,1.0,0.0,1257,0.08322903629536921,60105,0.8945149769272187,0.9247023808455345
QM9,PDV,homo_lumo_gap,1,0.5,Grouped shifted,structure-keyed,LGBM,3196,804,1.2841922113560549,0.5,0.5237394567028337,0.5237394567028337,algebraic,1.0,1.0,1257,0.08322903629536921,60105,0.8684884319334333,0.9247023808455345
QM9,PDV,homo_lumo_gap,1,1.0,Gaussian,reference,LGBM,3196,804,1.2841922113560549,1.0,1.0279253636835735,1.0279253636835735,algebraic,1.0,0.0,1257,0.08322903629536921,60110,0.7995257772949768,0.9247023808455345
QM9,PDV,homo_lumo_gap,1,1.0,Grouped shifted,structure-keyed,LGBM,3196,804,1.2841922113560549,1.0,1.0564570757557938,1.0564570757557938,algebraic,1.0,1.0,1257,0.08322903629536921,60110,0.7777635666241539,0.9247023808455345
QM9,PDV,homo_lumo_gap,1,1.5,Gaussian,reference,LGBM,3196,804,1.2841922113560549,1.5,1.5048449627922718,1.5048449627922718,algebraic,1.0,0.0,1257,0.08322903629536921,60115,0.7298856463883423,0.9247023808455345
QM9,PDV,homo_lumo_gap,1,1.5,Grouped shifted,structure-keyed,LGBM,3196,804,1.2841922113560549,1.5,1.599774609603136,1.599774609603136,algebraic,1.0,1.0,1257,0.08322903629536921,60115,0.44372518320868237,0.9247023808455345
QM9,PDV,homo_lumo_gap,2,0.5,Gaussian,reference,LGBM,3200,800,1.3195234870175732,0.5,0.4881262133212197,0.4881262133212197,algebraic,1.0,0.0,1285,0.08375,60205,0.8418063141994847,0.8946823111525191
QM9,PDV,homo_lumo_gap,2,0.5,Grouped shifted,structure-keyed,LGBM,3200,800,1.3195234870175732,0.5,0.519227361661287,0.519227361661287,algebraic,1.0,1.0,1285,0.08375,60205,0.8476824564530447,0.8946823111525191
QM9,PDV,homo_lumo_gap,2,1.0,Gaussian,reference,LGBM,3200,800,1.3195234870175732,1.0,0.9937977712813926,0.9937977712813926,algebraic,1.0,0.0,1285,0.08375,60210,0.7449295670250071,0.8946823111525191
QM9,PDV,homo_lumo_gap,2,1.0,Grouped shifted,structure-keyed,LGBM,3200,800,1.3195234870175732,1.0,0.9679294245110469,0.9679294245110469,algebraic,1.0,1.0,1285,0.08375,60210,0.7188162270991882,0.8946823111525191
QM9,PDV,homo_lumo_gap,2,1.5,Gaussian,reference,LGBM,3200,800,1.3195234870175732,1.5,1.521833166704101,1.521833166704101,algebraic,1.0,0.0,1285,0.08375,60215,0.5395893788030783,0.8946823111525191
QM9,PDV,homo_lumo_gap,2,1.5,Grouped shifted,structure-keyed,LGBM,3200,800,1.3195234870175732,1.5,1.479698567566572,1.479698567566572,algebraic,1.0,1.0,1285,0.08375,60215,0.5021238612166485,0.8946823111525191
QM9,PDV,homo_lumo_gap,3,0.5,Gaussian,reference,LGBM,3200,800,1.2861454093472788,0.5,0.4872558433247672,0.4872558433247672,algebraic,1.0,0.0,1212,0.0865625,60305,0.8768761364994999,0.9012979977835867
QM9,PDV,homo_lumo_gap,3,0.5,Grouped shifted,structure-keyed,LGBM,3200,800,1.2861454093472788,0.5,0.4799009314648164,0.4799009314648164,algebraic,1.0,1.0,1212,0.0865625,60305,0.8570943945662516,0.9012979977835867
QM9,PDV,homo_lumo_gap,3,1.0,Gaussian,reference,LGBM,3200,800,1.2861454093472788,1.0,1.0053249315554973,1.0053249315554973,algebraic,1.0,0.0,1212,0.0865625,60310,0.7868618137960426,0.9012979977835867
QM9,PDV,homo_lumo_gap,3,1.0,Grouped shifted,structure-keyed,LGBM,3200,800,1.2861454093472788,1.0,1.0640925501828922,1.0640925501828922,algebraic,1.0,1.0,1212,0.0865625,60310,0.7343668096386393,0.9012979977835867
QM9,PDV,homo_lumo_gap,3,1.5,Gaussian,reference,LGBM,3200,800,1.2861454093472788,1.5,1.4799245418165474,1.4799245418165474,algebraic,1.0,0.0,1212,0.0865625,60315,0.6444558237089844,0.9012979977835867
QM9,PDV,homo_lumo_gap,3,1.5,Grouped shifted,structure-keyed,LGBM,3200,800,1.2861454093472788,1.5,1.4631224596518948,1.4631224596518948,algebraic,1.0,1.0,1212,0.0865625,60315,0.5015594687963341,0.9012979977835867
QM9,PDV,homo_lumo_gap,4,0.5,Gaussian,reference,LGBM,3199,801,1.3140756102057574,0.5,0.5022318925135888,0.5022318925135888,algebraic,1.0,0.0,1508,0.0315723663644889,60405,0.8844386838040956,0.9173886470651695
QM9,PDV,homo_lumo_gap,4,0.5,Grouped shifted,structure-keyed,LGBM,3199,801,1.3140756102057574,0.5,0.4882889502225018,0.4882889502225018,algebraic,1.0,1.0,1508,0.0315723663644889,60405,0.8813874931046053,0.9173886470651695
QM9,PDV,homo_lumo_gap,4,1.0,Gaussian,reference,LGBM,3199,801,1.3140756102057574,1.0,0.9978893586710067,0.9978893586710067,algebraic,1.0,0.0,1508,0.0315723663644889,60410,0.7840270095311936,0.9173886470651695
QM9,PDV,homo_lumo_gap,4,1.0,Grouped shifted,structure-keyed,LGBM,3199,801,1.3140756102057574,1.0,1.0167599935765885,1.0167599935765885,algebraic,1.0,1.0,1508,0.0315723663644889,60410,0.7255414031199612,0.9173886470651695
