model,from_rep,applied_to,noise_seed,r2,seconds,status,detail
qm9,mlp_bnn_full,ecfp4,ecfp4,0,0.7155635586734717,147.0,ok,"{""hidden_size"": 128, ""num_hidden_layers"": 3, ""dropout_rate"": 0.493, ""lr"": 0.0051361233116248295}"
qm9,mlp_bnn_full,avalon,ecfp4,0,0.2913968637546813,37.9,ok,"{""hidden_size"": 64, ""num_hidden_layers"": 2, ""dropout_rate"": 0.136, ""lr"": 0.001181874895585407}"
qm9,mlp_bnn_full,mhggnn,ecfp4,0,0.48662900880730076,82.8,ok,"{""hidden_size"": 64, ""num_hidden_layers"": 1, ""dropout_rate"": 0.379, ""lr"": 0.004285944143830873}"
qm9,mlp_bnn_full,sns,ecfp4,0,0.682427012933501,69.1,ok,"{""hidden_size"": 128, ""num_hidden_layers"": 4, ""dropout_rate"": 0.104, ""lr"": 0.006033573786938741}"
qm9,mlp_bnn_full,DEFAULT,ecfp4,0,0.11674275326104211,36.6,ok,{}
qm9,mlp_bnn_full,pdv,avalon,0,0.768371087150608,67.3,ok,"{""hidden_size"": 64, ""num_hidden_layers"": 4, ""dropout_rate"": 0.175, ""lr"": 0.0018679656620337437}"
qm9,mlp_bnn_full,chemberta,avalon,0,0.7551355504918216,102.9,ok,"{""hidden_size"": 64, ""num_hidden_layers"": 4, ""dropout_rate"": 0.414, ""lr"": 0.005151500958133726}"
qm9,mlp_bnn_full,ecfp4,avalon,0,0.7733245919935108,106.4,ok,"{""hidden_size"": 128, ""num_hidden_layers"": 3, ""dropout_rate"": 0.493, ""lr"": 0.0051361233116248295}"
qm9,mlp_bnn_full,avalon,avalon,0,0.692308199100909,49.9,ok,"{""hidden_size"": 64, ""num_hidden_layers"": 2, ""dropout_rate"": 0.136, ""lr"": 0.001181874895585407}"
qm9,mlp_bnn_full,mhggnn,avalon,0,0.43919535045012514,27.0,ok,"{""hidden_size"": 64, ""num_hidden_layers"": 1, ""dropout_rate"": 0.379, ""lr"": 0.004285944143830873}"
qm9,mlp_bnn_full,sns,avalon,0,0.7673290628293858,161.3,ok,"{""hidden_size"": 128, ""num_hidden_layers"": 4, ""dropout_rate"": 0.104, ""lr"": 0.006033573786938741}"
