sigma,iteration,model,rep,sample_size,mae,mse,rmse,r2,pearson_corr,params_source,loss_function,spec_version,spec_hash,gp_fit_method,gp_collapsed,noise_type,level_units,delivered_dose,file_no
0.0,0,dnn,mhggnn,10000,0.37205446,0.22591092,0.47530088,0.8425105877944173,0.9225563,default,mse,1.3.0,7b7c3372d7be,,,,,,
0.0,0,dnn,avalon,10000,0.29538286,0.1630705,0.4038199,0.8863185708935428,0.9415996,default,mse,1.3.0,7b7c3372d7be,,,,,,
0.0,0,dnn,chemberta,10000,0.37604374,0.2311224,0.4807519,0.8388775043469237,0.9220381,default,mse,1.3.0,7b7c3372d7be,,,,,,
0.0,0,dnn,sns,10000,0.2943598,0.14962728,0.38681686,0.8956902431647816,0.94667345,default,mse,1.3.0,7b7c3372d7be,,,,,,
0.0,0,mlp,ecfp4,10000,0.42481595,0.29948288,0.5472503,0.7912213151497747,0.8927284,default,mse,1.3.0,7b7c3372d7be,,,,,,
0.0,0,mlp,continuous_pdv,10000,0.3178919,0.17540799,0.41881737,0.8777177224272025,0.9407605,default,mse,1.3.0,7b7c3372d7be,,,,,,
0.0,0,mlp,mhggnn,10000,0.34746918,0.20432141,0.45201927,0.8575612971470841,0.9302689,default,mse,1.3.0,7b7c3372d7be,,,,,,
0.0,0,mlp,avalon,10000,0.34869152,0.21399294,0.4625937,0.8508189809688358,0.9269717,default,mse,1.3.0,7b7c3372d7be,,,,,,
0.0,0,mlp,chemberta,10000,0.37620294,0.23798218,0.4878342,0.8340953619691172,0.9160003,default,mse,1.3.0,7b7c3372d7be,,,,,,
0.0,0,mlp,sns,10000,0.37936428,0.23458493,0.48433968,0.8364636692451861,0.920127,default,mse,1.3.0,7b7c3372d7be,,,,,,
0.0,0,bnn_full,ecfp4,10000,0.5225322,0.43602696,0.6603234,0.696032284261527,0.8508718,default,mse,1.3.0,7b7c3372d7be,,,,,,
0.0,0,bnn_full,continuous_pdv,10000,0.34578747,0.20436175,0.4520639,0.8575331760495613,0.9274676,default,mse,1.3.0,7b7c3372d7be,,,,,,
0.0,0,bnn_full,mhggnn,10000,0.47204253,0.35386407,0.5948647,0.7533105372338672,0.9210049,default,mse,1.3.0,7b7c3372d7be,,,,,,
