kind,level,type,rep,model,dose,r2,base
noise,0.1,Grouped,2,Ridge,0.0972321842339921,0.8954031293595489,0.8973697977890748
noise,0.1,Outlier p=0.05,0,RF,0.10095964655285808,0.9182922083166741,0.9194864335571435
noise,0.1,Outlier p=0.05,0,LGBM,0.10095964655285808,0.9175320061006398,0.9212422032916183
noise,0.1,Outlier p=0.05,0,Ridge,0.10095964655285808,0.8976861169868166,0.8973697977890748
noise,0.1,Outlier p=0.05,1,RF,0.10225467852416607,0.9212565835900763,0.9194864335571435
noise,0.1,Outlier p=0.05,1,LGBM,0.10225467852416607,0.9187489021375506,0.9212422032916183
noise,0.1,Outlier p=0.05,1,Ridge,0.10225467852416607,0.9006247015851805,0.8973697977890748
noise,0.1,Outlier p=0.05,2,RF,0.0994834058021523,0.919601773079175,0.9194864335571435
noise,0.1,Outlier p=0.05,2,LGBM,0.0994834058021523,0.9207270749863552,0.9212422032916183
noise,0.1,Outlier p=0.05,2,Ridge,0.0994834058021523,0.8978696458765263,0.8973697977890748
noise,0.2,Gaussian,0,RF,0.19888154334011812,0.9165584566551433,0.9194864335571435
noise,0.2,Gaussian,0,LGBM,0.19888154334011812,0.9134096279683035,0.9212422032916183
noise,0.2,Gaussian,0,Ridge,0.19888154334011812,0.8935182258153207,0.8973697977890748
noise,0.2,Gaussian,1,RF,0.19831274961799875,0.9177771268539577,0.9194864335571435
noise,0.2,Gaussian,1,LGBM,0.19831274961799875,0.9137338083105873,0.9212422032916183
noise,0.2,Gaussian,1,Ridge,0.19831274961799875,0.8983855998319278,0.8973697977890748
noise,0.2,Gaussian,2,RF,0.1958719814716485,0.9141687516369081,0.9194864335571435
noise,0.2,Gaussian,2,LGBM,0.1958719814716485,0.9082050027962889,0.9212422032916183
noise,0.2,Gaussian,2,Ridge,0.1958719814716485,0.9008842085479691,0.8973697977890748
noise,0.2,Student-t nu=3,0,RF,0.2023793704391985,0.9174639818812481,0.9194864335571435
noise,0.2,Student-t nu=3,0,LGBM,0.2023793704391985,0.9143955282393559,0.9212422032916183
noise,0.2,Student-t nu=3,0,Ridge,0.2023793704391985,0.8945177967560667,0.8973697977890748
noise,0.2,Student-t nu=3,1,RF,0.18945104884775943,0.9224659400318947,0.9194864335571435
noise,0.2,Student-t nu=3,1,LGBM,0.18945104884775943,0.9191463745235179,0.9212422032916183
noise,0.2,Student-t nu=3,1,Ridge,0.18945104884775943,0.8995483602635146,0.8973697977890748
noise,0.2,Student-t nu=3,2,RF,0.19588696852030058,0.9144519911938273,0.9194864335571435
noise,0.2,Student-t nu=3,2,LGBM,0.19588696852030058,0.9123202412360284,0.9212422032916183
noise,0.2,Student-t nu=3,2,Ridge,0.19588696852030058,0.8964431941227645,0.8973697977890748
noise,0.2,Grouped,0,RF,0.19763610701334475,0.9140225413002547,0.9194864335571435
noise,0.2,Grouped,0,LGBM,0.19763610701334475,0.9149473511588645,0.9212422032916183
noise,0.2,Grouped,0,Ridge,0.19763610701334475,0.8948139726055586,0.8973697977890748
noise,0.2,Grouped,1,RF,0.19563159906617716,0.9169643588667646,0.9194864335571435
noise,0.2,Grouped,1,LGBM,0.19563159906617716,0.9156457638460401,0.9212422032916183
noise,0.2,Grouped,1,Ridge,0.19563159906617716,0.8941178665069549,0.8973697977890748
noise,0.2,Grouped,2,RF,0.1944643684679842,0.9152745825849641,0.9194864335571435
noise,0.2,Grouped,2,LGBM,0.1944643684679842,0.9025858829786253,0.9212422032916183
noise,0.2,Grouped,2,Ridge,0.1944643684679842,0.8914573260397123,0.8973697977890748
noise,0.2,Outlier p=0.05,0,RF,0.20191929310571616,0.9170924146385317,0.9194864335571435
noise,0.2,Outlier p=0.05,0,LGBM,0.20191929310571616,0.91179966405008,0.9212422032916183
noise,0.2,Outlier p=0.05,0,Ridge,0.20191929310571616,0.8967908882496699,0.8973697977890748
noise,0.2,Outlier p=0.05,1,RF,0.20450935704833215,0.9195312672028119,0.9194864335571435
noise,0.2,Outlier p=0.05,1,LGBM,0.20450935704833215,0.916227892638494,0.9212422032916183
noise,0.2,Outlier p=0.05,1,Ridge,0.20450935704833215,0.9014843557835286,0.8973697977890748
noise,0.2,Outlier p=0.05,2,RF,0.1989668116043046,0.9172155902700558,0.9194864335571435
noise,0.2,Outlier p=0.05,2,LGBM,0.1989668116043046,0.9141197194803392,0.9212422032916183
noise,0.2,Outlier p=0.05,2,Ridge,0.1989668116043046,0.8969299813857948,0.8973697977890748
noise,0.3,Gaussian,0,RF,0.2983223150101771,0.9139112185112143,0.9194864335571435
noise,0.3,Gaussian,0,LGBM,0.2983223150101771,0.9019763849465542,0.9212422032916183
noise,0.3,Gaussian,0,Ridge,0.2983223150101771,0.8902524568399054,0.8973697977890748
noise,0.3,Gaussian,1,RF,0.2974691244269981,0.9125214550777841,0.9194864335571435
noise,0.3,Gaussian,1,LGBM,0.2974691244269981,0.9040771262223712,0.9212422032916183
noise,0.3,Gaussian,1,Ridge,0.2974691244269981,0.8966991838421176,0.8973697977890748
noise,0.3,Gaussian,2,RF,0.2938079722074727,0.9078180247448167,0.9194864335571435
noise,0.3,Gaussian,2,LGBM,0.2938079722074727,0.8982125752089805,0.9212422032916183
noise,0.3,Gaussian,2,Ridge,0.2938079722074727,0.9005162973881137,0.8973697977890748
noise,0.3,Student-t nu=3,0,RF,0.30356905565879766,0.9069671077884416,0.9194864335571435
